id,b_m,malignant
ISIC_3491559,benign,0
ISIC_3622379,benign,0
ISIC_2443008,malignant,1
ISIC_6892286,malignant,1
ISIC_1979534,malignant,1
ISIC_1033970,benign,0
ISIC_3678711,benign,0
ISIC_3954972,benign,0
ISIC_9214649,malignant,1
ISIC_6688399,benign,0
ISIC_9381247,benign,0
ISIC_3056854,malignant,1
ISIC_9301005,benign,0
ISIC_6594866,benign,0
ISIC_4708741,benign,0
ISIC_7755096,indeterminate/malignant,0
ISIC_3199142,benign,0
ISIC_0429987,benign,0
ISIC_0900188,benign,0
ISIC_5901805,benign,0
ISIC_9859873,malignant,1
ISIC_6721526,benign,0
ISIC_4701313,malignant,1
ISIC_6190427,benign,0
ISIC_6165660,benign,0
ISIC_8645184,benign,0
ISIC_1300267,benign,0
ISIC_7166430,benign,0
ISIC_5809270,benign,0
ISIC_5855767,benign,0
ISIC_5484708,benign,0
ISIC_9038840,benign,0
ISIC_8622942,benign,0
ISIC_1822966,benign,0
ISIC_0743395,benign,0
ISIC_7809510,malignant,1
ISIC_2256331,benign,0
ISIC_9274936,indeterminate/malignant,0
ISIC_6377613,malignant,1
ISIC_7097931,malignant,1
ISIC_2559263,benign,0
ISIC_5905688,benign,0
ISIC_5386182,benign,0
ISIC_3206521,benign,0
ISIC_9186977,benign,0
ISIC_6119202,malignant,1
ISIC_7316506,benign,0
ISIC_6900593,benign,0
ISIC_9859134,benign,0
ISIC_3567510,benign,0
ISIC_1635827,benign,0
ISIC_2304572,benign,0
ISIC_6006602,indeterminate/benign,0
ISIC_5926017,benign,0
ISIC_6981855,benign,0
ISIC_3992319,benign,0
ISIC_7064613,benign,0
ISIC_7246266,benign,0
ISIC_2206284,malignant,1
ISIC_5176677,benign,0
ISIC_1474512,benign,0
ISIC_4511704,benign,0
ISIC_7428306,benign,0
ISIC_7549843,benign,0
ISIC_0283070,benign,0
ISIC_3339372,benign,0
ISIC_7559316,benign,0
ISIC_0465400,benign,0
ISIC_3751908,benign,0
ISIC_4457091,benign,0
ISIC_0178370,benign,0
ISIC_6730858,benign,0
ISIC_9007451,benign,0
ISIC_3563953,indeterminate/benign,0
ISIC_9918922,benign,0
ISIC_7175690,benign,0
ISIC_4485499,benign,0
ISIC_5588496,indeterminate/malignant,0
ISIC_9565804,benign,0
ISIC_8851245,benign,0
ISIC_4403481,benign,0
ISIC_7299650,benign,0
ISIC_0498990,benign,0
ISIC_6668093,malignant,1
ISIC_7092052,indeterminate/malignant,0
ISIC_9881460,malignant,1
ISIC_3526376,benign,0
ISIC_1423737,malignant,1
ISIC_9810784,benign,0
ISIC_7461616,benign,0
ISIC_4974820,benign,0
ISIC_8320240,benign,0
ISIC_0155910,benign,0
ISIC_4454075,benign,0
ISIC_3139292,benign,0
ISIC_6397087,benign,0
ISIC_5649739,benign,0
ISIC_2355721,benign,0
ISIC_1406593,benign,0
ISIC_6279341,benign,0
ISIC_9262713,indeterminate/benign,0
ISIC_0984817,malignant,1
ISIC_3815982,benign,0
ISIC_9406755,benign,0
ISIC_5638751,benign,0
ISIC_6616555,benign,0
ISIC_4848011,benign,0
ISIC_0390071,benign,0
ISIC_9345697,benign,0
ISIC_4470346,benign,0
ISIC_5261089,benign,0
ISIC_0282371,indeterminate/benign,0
ISIC_1406434,benign,0
ISIC_5003606,benign,0
ISIC_1940620,benign,0
ISIC_5367687,benign,0
ISIC_0848012,benign,0
ISIC_4810485,indeterminate/benign,0
ISIC_5753627,indeterminate/benign,0
ISIC_0510774,benign,0
ISIC_1626055,benign,0
ISIC_8044265,benign,0
ISIC_9676056,benign,0
ISIC_1776777,malignant,1
ISIC_3323866,malignant,1
ISIC_1789206,benign,0
ISIC_7044414,benign,0
ISIC_3654066,benign,0
ISIC_4602463,benign,0
ISIC_8671159,benign,0
ISIC_9572761,malignant,1
ISIC_0991761,benign,0
ISIC_1617848,benign,0
ISIC_6813281,benign,0
ISIC_2789443,benign,0
ISIC_1112228,benign,0
ISIC_0235696,malignant,1
ISIC_7252283,benign,0
ISIC_9229047,malignant,1
ISIC_9595615,benign,0
ISIC_0968773,benign,0
ISIC_1748491,benign,0
ISIC_0202119,malignant,1
ISIC_4835535,benign,0
ISIC_1850674,malignant,1
ISIC_0908291,benign,0
ISIC_6821316,malignant,1
ISIC_3685033,benign,0
ISIC_4799999,malignant,1
ISIC_8576765,benign,0
ISIC_6285871,benign,0
ISIC_3565564,malignant,1
ISIC_5917274,benign,0
ISIC_4170141,benign,0
ISIC_2030748,benign,0
ISIC_4201157,indeterminate/benign,0
ISIC_2784325,benign,0
ISIC_3477573,benign,0
ISIC_9111281,benign,0
ISIC_7680185,benign,0
ISIC_6865666,benign,0
ISIC_1358080,benign,0
ISIC_8579352,benign,0
ISIC_2194390,benign,0
ISIC_5156491,malignant,1
ISIC_8256480,malignant,1
ISIC_4449211,benign,0
ISIC_9611660,benign,0
ISIC_9615486,malignant,1
ISIC_7399648,malignant,1
ISIC_1007406,benign,0
ISIC_7944238,benign,0
ISIC_1418323,benign,0
ISIC_8069559,benign,0
ISIC_0582421,benign,0
ISIC_7988442,benign,0
ISIC_0464270,benign,0
ISIC_7170340,benign,0
ISIC_9430639,benign,0
ISIC_0475038,benign,0
ISIC_2431690,benign,0
ISIC_7043369,malignant,1
ISIC_7203426,benign,0
ISIC_1540369,benign,0
ISIC_2530060,benign,0
ISIC_0657897,benign,0
ISIC_9312051,benign,0
ISIC_9286502,indeterminate/benign,0
ISIC_6009572,indeterminate/benign,0
ISIC_5438964,benign,0
ISIC_2703002,benign,0
ISIC_1569258,benign,0
ISIC_9596388,benign,0
ISIC_7747712,malignant,1
ISIC_0261253,malignant,1
ISIC_4094938,benign,0
ISIC_4097868,malignant,1
ISIC_6119036,benign,0
ISIC_7230249,benign,0
ISIC_9179066,benign,0
ISIC_7575957,benign,0
ISIC_3425517,benign,0
ISIC_0131983,benign,0
ISIC_4731257,benign,0
ISIC_6066990,benign,0
ISIC_3364243,benign,0
ISIC_3573097,benign,0
ISIC_1736524,benign,0
ISIC_5206639,malignant,1
ISIC_9733868,benign,0
ISIC_9881690,benign,0
