"","pID","condition","block_no","trial_no","stimulus","response","correct","rt","age","gender"
"1",1,"ab",1,1,"hl","lh",FALSE,8254.126,18,"female"
"2",1,"ab",1,2,"hh","hh",TRUE,2224.224,18,"female"
"3",1,"ab",1,3,"hh","hh",TRUE,4261.639,18,"female"
"4",1,"ab",1,4,"hl","ll",FALSE,3337.379,18,"female"
"5",1,"ab",1,5,"hh","hl",FALSE,9922.166,18,"female"
"6",1,"ab",1,6,"ll","hl",FALSE,6963.297,18,"female"
"7",1,"ab",1,7,"lh","hl",FALSE,3562.543,18,"female"
"8",1,"ab",1,8,"ll","lh",FALSE,4346.916,18,"female"
"9",1,"ab",1,9,"ll","hh",FALSE,3961.91,18,"female"
"10",1,"ab",1,10,"hh","hl",FALSE,4090.138,18,"female"
"11",1,"ab",1,11,"hh","hh",TRUE,8420.023,18,"female"
"12",1,"ab",1,12,"hh","hh",TRUE,2050.464,18,"female"
"13",1,"ab",1,13,"lh","ll",FALSE,2366.33,18,"female"
"14",1,"ab",1,14,"hh","hh",TRUE,1196.912,18,"female"
"15",1,"ab",1,15,"hl","hh",FALSE,4698.667,18,"female"
"16",1,"ab",1,16,"lh","hh",FALSE,2541.649,18,"female"
"17",1,"ab",1,17,"lh","hh",FALSE,3798.358,18,"female"
"18",1,"ab",1,18,"ll","ll",TRUE,5131.586,18,"female"
"19",1,"ab",1,19,"lh","ll",FALSE,3916.425,18,"female"
"20",1,"ab",1,20,"hh","hh",TRUE,5262.069,18,"female"
"21",1,"ab",1,21,"hh","lh",FALSE,5690.281,18,"female"
"22",1,"ab",1,22,"ll","hh",FALSE,8149.08,18,"female"
"23",1,"ab",1,23,"ll","ll",TRUE,2716.56,18,"female"
"24",1,"ab",1,24,"lh","hh",FALSE,2206.24,18,"female"
"25",1,"ab",1,25,"hh","hh",TRUE,3892.171,18,"female"
"26",1,"ab",1,26,"hh","hh",TRUE,3238.744,18,"female"
"27",1,"ab",1,27,"hh","hh",TRUE,3155.304,18,"female"
"28",1,"ab",1,28,"hl","hl",TRUE,8882.603,18,"female"
"29",1,"ab",1,29,"hl","hl",TRUE,4270.226,18,"female"
"30",1,"ab",1,30,"hl","ll",FALSE,3968.938,18,"female"
"31",1,"ab",1,31,"ll","lh",FALSE,5696.4,18,"female"
"32",1,"ab",1,32,"hl","hh",FALSE,3403.551,18,"female"
"33",1,"ab",1,33,"hl","hh",FALSE,2401.364,18,"female"
"34",1,"ab",1,34,"lh","lh",TRUE,5823.279,18,"female"
"35",1,"ab",1,35,"hl","hh",FALSE,3028.599,18,"female"
"36",1,"ab",1,36,"lh","ll",FALSE,2730.298,18,"female"
"37",1,"ab",1,37,"hl","ll",FALSE,1002.295,18,"female"
"38",1,"ab",1,38,"hl","ll",FALSE,9969.035,18,"female"
"39",1,"ab",1,39,"hh","hh",TRUE,3038.812,18,"female"
"40",1,"ab",1,40,"hl","ll",FALSE,8437.049,18,"female"
"41",1,"ab",1,41,"lh","ll",FALSE,3489.864,18,"female"
"42",1,"ab",1,42,"lh","ll",FALSE,6068.389,18,"female"
"43",1,"ab",1,43,"hh","hh",TRUE,1839.406,18,"female"
"44",1,"ab",1,44,"lh","ll",FALSE,2132.272,18,"female"
"45",1,"ab",1,45,"lh","ll",FALSE,1468.501,18,"female"
"46",1,"ab",1,46,"lh","ll",FALSE,4752.032,18,"female"
