sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
informed_consent,html.Screen,0,2023-11-13T15:22:32.110Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":2560,""screen_height"":1440,""scroll_width"":1265,""scroll_height"":1278,""window_innerWidth"":1265,""window_innerHeight"":1326,""devicePixelRatio"":1}",,,,,,,1388905.95,response,,,,,,,,,,,,,,consent,click button,,,1389403,1389397.5,474.706,573.6,491.55,1389306.305,,,,{},,
Welcome,html.Screen,1,2023-11-13T15:23:38.658Z,,,,,,,,66643.795,response,,,,,,,,,,,,,,continue,click button,,,1455950.9,1455950.1,1389289.609,1389403.2,1389306.305,1455861.395,,,,,24,female
demo_instructions,html.Screen,2,2023-11-13T15:23:58.186Z,,,,,"[""col"",""sym""]",,,19616.405,response,,,,,,,,,,,,,,continue,click button,,,1475478.5,1475477.8,1455845.1,1455951,1455861.395,1475410.914,,,,,,
trial,html.Screen,3_0_0,2023-11-13T15:24:15.100Z,,0,-0.004877162,0.052352446,,TRUE,lh,16981.786,response,-0.956673317,1.05,-1.05,0.868885918,1.05,-1.05,low,high,ISIC_0010379.JPG,,ISIC_0640770.JPG,21,TRUE,lh,keypress(e),100,FALSE,1492393.2,1492392.7,1475394.258,1475478.6,1475410.914,1492325.077,1,16,1,,,
sequence,flow.Sequence,3_0,2023-11-13T15:24:15.101Z,,,,,,,,16981.786,completion,,,,,,,low,high,,,,,TRUE,,,,FALSE,1492394.1,1492392.7,1475394.258,1475478.6,1475410.914,1492325.077,1,16,,,,
trial,html.Screen,3_1_0,2023-11-13T15:24:19.683Z,,0,-0.004877162,0.052352446,,TRUE,lh,4650.323,response,-1.171271536,1.05,-1.05,1.026446399,1.05,-1.05,low,high,ISIC_0010379.JPG,,ISIC_7889838.JPG,21,TRUE,lh,keypress(e),100,FALSE,1496976,1496975.4,1492308.582,1492394.4,1492325.077,1496895.517,1,16,2,,,
sequence,flow.Sequence,3_1,2023-11-13T15:24:19.684Z,,,,,,,,4650.323,completion,,,,,,,low,high,,,,,TRUE,,,,FALSE,1496976.9,1496975.4,1492308.582,1492394.4,1492325.077,1496895.517,1,16,,,,
trial,html.Screen,3_2_0,2023-11-13T15:24:22.555Z,,0,-0.022222353,0.06682017,,TRUE,lh,2952.083,response,-0.929746784,1.05,-1.05,0.922552435,1.05,-1.05,low,high,ISIC_8321148.JPG,,ISIC_0011077.JPG,21,TRUE,lh,keypress(e),100,FALSE,1499848.3,1499847.6,1496878.859,1496977.5,1496895.517,1499781.271,1,16,3,,,
sequence,flow.Sequence,3_2,2023-11-13T15:24:22.557Z,,,,,,,,2952.083,completion,,,,,,,low,high,,,,,TRUE,,,,FALSE,1499849.5,1499847.6,1496878.859,1496977.3,1496895.517,1499781.271,1,16,,,,
trial,html.Screen,3_3_0,2023-11-13T15:24:25.284Z,,0,0.06466149,-0.03726992,,TRUE,lh,2795.429,response,-0.883317539,1.05,-1.05,1.082730233,1.05,-1.05,low,high,ISIC_1175170.JPG,,ISIC_0011933.JPG,21,TRUE,lh,keypress(e),100,FALSE,1502577.1,1502576.7,1499764.604,1499850,1499781.271,1502500.395,1,16,4,,,
sequence,flow.Sequence,3_3,2023-11-13T15:24:25.285Z,,,,,,,,2795.429,completion,,,,,,,low,high,,,,,TRUE,,,,FALSE,1502577.7,1502576.7,1499764.604,1499849.9,1499781.271,1502500.395,1,16,,,,
trial,html.Screen,3_4_0,2023-11-13T15:24:27.482Z,,0,0.049297905,0.036247274,,FALSE,ll,2274.105,response,-1.091507924,1.05,-1.05,-1.164259648,1.05,-1.05,low,low,ISIC_5312584.JPG,,ISIC_0765584.JPG,86,TRUE,lh,keypress(e),100,FALSE,1504775,1504774.5,1502483.373,1502578,1502500.395,1504701.894,1,16,5,,,
sequence,flow.Sequence,3_4,2023-11-13T15:24:27.483Z,,,,,,,,2274.105,completion,,,,,,,low,low,,,,,TRUE,,,,FALSE,1504775.7,1504774.5,1502483.373,1502577.9,1502500.395,1504701.894,1,16,,,,
