sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-14T19:36:19.021Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1920,""screen_height"":1080,""scroll_width"":945,""scroll_height"":918,""window_innerWidth"":945,""window_innerHeight"":966,""devicePixelRatio"":1}",,,,,,,,,21145.511000000744,response,,,,,,,,,,,,,,,consent,click button,,,21808,21798.800000000745,636.624,634.8000000007451,653.289,21803.318,,,,{}
Demography form,html.Form,1,2023-11-14T19:36:29.597Z,,,18,,,,,,,10580.582000000373,form submission,,,,,,,,,female,,,,,,,,,,32384.099999999627,32383.900000000373,21786.729,21808.200000001118,21803.318,32403.485,,,,
Welcome,html.Screen,2,2023-11-14T19:36:53.068Z,,,,,,,"[""asym"",""bor""]",,,23451.215000001117,response,,,,,,,,,,,,,,,continue,click button,,,55855.300000000745,55854.70000000112,32386.697,32384.099999999627,32403.485,55870.052,,,,
demo_instructions,html.Screen,3,2023-11-14T19:37:16.324Z,,,,,,,,,,23240.947999999997,response,,,,,,,,,,,,,,,continue,click button,,,79111.59999999963,79111,55853.378,55855.40000000037,55870.052,79120.086,,,,
trial,html.Screen,4_0_0,2023-11-14T19:37:31.863Z,,,,0,1.0213365328004047,-1.088524359911891,,true,lh,15530.114000001122,response,-1.020990671779317,1.0499999999999998,-1.0499999999999998,1.0116513850520903,1.0499999999999998,-1.0499999999999998,low,high,,ISIC_5434229.JPG,,ISIC_0011995.JPG,21,true,lh,keypress(e),100,false,94650.40000000037,94650.20000000112,79103.639,79111.80000000075,79120.086,94670.235,1,16,1,
sequence,flow.Sequence,4_0,2023-11-14T19:37:31.863Z,,,,,,,,,,15530.114000001122,completion,,,,,,,low,high,,,,,,true,,,,false,94650.59999999963,94650.20000000112,79103.639,79111.80000000075,79120.086,94670.235,1,16,,
trial,html.Screen,4_1_0,2023-11-14T19:37:41.579Z,,,,0,0.8655167308525522,-0.9298580423306444,,true,lh,9695.864999999627,response,-0.8979276789594874,1.0499999999999998,-1.0499999999999998,0.925374811016654,1.0499999999999998,-1.0499999999999998,low,high,,ISIC_4603706.JPG,,ISIC_4208361.JPG,21,true,lh,keypress(e),100,false,104366.30000000075,104366.09999999963,94653.465,94650.80000000075,94670.235,104386.8,1,16,2,
sequence,flow.Sequence,4_1,2023-11-14T19:37:41.579Z,,,,,,,,,,9695.864999999627,completion,,,,,,,low,high,,,,,,true,,,,false,104366.5,104366.09999999963,94653.465,94650.80000000075,94670.235,104386.8,1,16,,
trial,html.Screen,4_2_0,2023-11-14T19:37:46.975Z,,,,0,0.9235571765207048,-1.0008081653938232,,true,lh,5375.10000000037,response,-0.991282840649944,1.0499999999999998,-1.0499999999999998,0.9397921099839784,1.0499999999999998,-1.0499999999999998,low,high,,ISIC_8796632.JPG,,ISIC_0000463.JPG,21,true,lh,keypress(e),100,false,109762.20000000112,109761.90000000037,104370.113,104366.59999999963,104386.8,109786.824,1,16,3,
sequence,flow.Sequence,4_2,2023-11-14T19:37:46.975Z,,,,,,,,,,5375.10000000037,completion,,,,,,,low,high,,,,,,true,,,,false,109762.40000000037,109761.90000000037,104370.113,104366.59999999963,104386.8,109786.824,1,16,,
