sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-15T15:19:30.022Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1920,""screen_height"":1080,""scroll_width"":945,""scroll_height"":918,""window_innerWidth"":945,""window_innerHeight"":966,""devicePixelRatio"":1}",,,,,,,,,67181.72399999702,response,,,,,,,,,,,,,,,consent,click button,,,67683.69999998808,67675.79999999702,477.429,472.69999998807907,494.076,67677.517,,,,{}
Demography form,html.Form,1,2023-11-15T15:19:38.792Z,,,18,,,,,,,8775.582999994032,form submission,,,,,,,,,female,,,,,,,,,,76453.19999998808,76453.09999999404,67661.09,67683.89999999106,67677.517,76460.878,,,,
Welcome,html.Screen,2,2023-11-15T15:20:11.976Z,,,,,,,"[""asym"",""bor""]",,,33175.02199999106,response,,,,,,,,,,,,,,,continue,click button,,,109636.69999998808,109635.89999999106,76444.211,76453.29999999702,76460.878,109644.2,,,,
demo_instructions,html.Screen,3,2023-11-15T15:20:50.400Z,,,,,,,,,,38415.89999999404,response,,,,,,,,,,,,,,,continue,click button,,,148060.59999999404,148060.09999999404,109627.574,109636.79999999702,109644.2,148077.799,,,,
trial,html.Screen,4_0_0,2023-11-15T15:21:06.459Z,,,,0,1.0213365328004047,-1.088524359911891,,true,lh,16041.701000000001,response,-0.8979276789594874,1.0499999999999998,-1.0499999999999998,0.925374811016654,1.0499999999999998,-1.0499999999999998,low,high,,ISIC_5434229.JPG,,ISIC_4208361.JPG,21,true,lh,keypress(e),100,false,164119.79999999702,164119.5,148060.964,148060.79999999702,148077.799,164144.376,1,16,1,
sequence,flow.Sequence,4_0,2023-11-15T15:21:06.459Z,,,,,,,,,,16041.701000000001,completion,,,,,,,low,high,,,,,,true,,,,false,164120.19999998808,164119.5,148060.964,148060.79999999702,148077.799,164144.376,1,16,,
trial,html.Screen,4_1_0,2023-11-15T15:21:08.785Z,,,,0,0.9235571765207048,-1.0008081653938232,,true,lh,2301.7239999940502,response,-1.2075172235545184,1.0499999999999998,-1.0499999999999998,0.9116724966267612,1.0499999999999998,-1.0499999999999998,low,high,,ISIC_8796632.JPG,,ISIC_0024235.JPG,21,true,lh,keypress(e),100,false,166446.19999998808,166446.09999999404,164127.701,164120.29999999702,164144.376,166477.644,1,16,2,
sequence,flow.Sequence,4_1,2023-11-15T15:21:08.785Z,,,,,,,,,,2301.7239999940502,completion,,,,,,,low,high,,,,,,true,,,,false,166446.39999999106,166446.09999999404,164127.701,164120.19999998808,164144.376,166477.644,1,16,,
trial,html.Screen,4_2_0,2023-11-15T15:21:16.150Z,,,,0,0.8947611078712571,-0.8960964505004638,,true,lh,7332.555999988079,response,-1.0751036484083878,1.0499999999999998,-1.0499999999999998,1.143906455483852,1.0499999999999998,-1.0499999999999998,low,high,,ISIC_6441128.JPG,,ISIC_0064406.JPG,21,true,lh,keypress(e),100,false,173810.39999999106,173810.19999998808,166461.238,166446.5,166477.644,173827.877,1,16,3,
sequence,flow.Sequence,4_2,2023-11-15T15:21:16.151Z,,,,,,,,,,7332.555999988079,completion,,,,,,,low,high,,,,,,true,,,,false,173810.69999998808,173810.19999998808,166461.238,166446.5,166477.644,173827.877,1,16,,
