sender,sender_type,sender_id,timestamp,meta,age,blockNo,c1,c2,condition,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-15T20:40:37.391Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1680,""screen_height"":1050,""scroll_width"":825,""scroll_height"":888,""window_innerWidth"":825,""window_innerHeight"":936,""devicePixelRatio"":1}",,,,,,,,43148.538,response,,,,,,,,,,,,,,,consent,click button,,,43894.5,43885.2,719.98,919,736.662,43703.867,,,,{}
Demography form,html.Form,1,2023-11-15T20:40:39.446Z,,-99,,,,,,,2245.633,response,,,,,,,,,prefer not say,,,,,,continue,keypress(Space),,,45949.9,45949.5,43686.894,43894.7,43703.867,45757.787,,,,
Welcome,html.Screen,2,2023-11-15T20:41:04.857Z,,,,,,"[""asym"",""bor""]",,,25599.213,response,,,,,,,,,,,,,,,continue,click button,,,71357.4,71357,45741.147,45950.2,45757.787,71173.953,,,,
demo_instructions,html.Screen,3,2023-11-15T20:41:13.994Z,,,,,,,,,9319.447,response,,,,,,,,,,,,,,,continue,click button,,,80493.8,80493.4,71157,71357.5,71173.953,80291.425,,,,
trial,html.Screen,4_0_0,2023-11-15T20:41:22.972Z,,,0,1.021336533,-1.08852436,,TRUE,lh,9179.975,response,-0.969611853,1.05,-1.05,0.924414828,1.05,-1.05,low,high,,ISIC_5434229.JPG,,ISIC_7927525.JPG,21,TRUE,lh,keypress(e),100,FALSE,89472,89471.4,80274.903,80494,80291.425,89292.287,1,16,1,
sequence,flow.Sequence,4_0,2023-11-15T20:41:22.997Z,,,,,,,,,9179.975,completion,,,,,,,low,high,,,,,,TRUE,,,,FALSE,89497.9,89471.4,80274.903,80494,80291.425,89292.287,1,16,,
trial,html.Screen,4_1_0,2023-11-15T20:41:31.948Z,,,0,1.021336533,-1.08852436,,TRUE,lh,9155.313,response,-0.991282841,1.05,-1.05,0.93979211,1.05,-1.05,low,high,,ISIC_5434229.JPG,,ISIC_0000463.JPG,21,TRUE,lh,keypress(e),100,FALSE,98448,98447.6,89275.664,89498,89292.287,98259.955,1,16,2,
sequence,flow.Sequence,4_1,2023-11-15T20:41:31.948Z,,,,,,,,,9155.313,completion,,,,,,,low,high,,,,,,TRUE,,,,FALSE,98448.4,98447.6,89275.664,89498,89292.287,98259.955,1,16,,
trial,html.Screen,4_2_0,2023-11-15T20:41:33.107Z,,,0,0.923557177,-1.000808165,,TRUE,lh,1346.745,response,-0.879102501,1.05,-1.05,1.093308195,1.05,-1.05,low,high,,ISIC_8796632.JPG,,ISIC_0046223.JPG,21,TRUE,lh,keypress(e),100,FALSE,99607.5,99606.7,98243.032,98448.5,98259.955,99428.871,1,16,3,
sequence,flow.Sequence,4_2,2023-11-15T20:41:33.108Z,,,,,,,,,1346.745,completion,,,,,,,low,high,,,,,,TRUE,,,,FALSE,99608.6,99606.7,98243.032,98448.5,98259.955,99428.871,1,16,,
trial,html.Screen,4_3_0,2023-11-15T20:41:37.251Z,,,0,0.923557177,-1.000808165,,TRUE,lh,4321.829,response,-1.207517224,1.05,-1.05,0.911672497,1.05,-1.05,low,high,,ISIC_8796632.JPG,,ISIC_0024235.JPG,21,TRUE,lh,keypress(e),100,FALSE,103750.9,103750.7,99412.04,99608.9,99428.871,103570.07,1,16,4,
sequence,flow.Sequence,4_3,2023-11-15T20:41:37.251Z,,,,,,,,,4321.829,completion,,,,,,,low,high,,,,,,TRUE,,,,FALSE,103751,103750.7,99412.04,99608.8,99428.871,103570.07,1,16,,
trial,html.Screen,4_4_0,2023-11-15T20:41:46.422Z,,,0,1.222492657,0.854583063,,TRUE,ll,9351.43,response,-1.202408356,1.05,-1.05,-1.149077673,1.05,-1.05,low,low,,ISIC_4118762.JPG,,ISIC_3566243.JPG,111,TRUE,ll,keypress(f),100,FALSE,112922,112921.5,103553.347,103751.1,103570.07,112738.055,1,16,5,
sequence,flow.Sequence,4_4,2023-11-15T20:41:46.422Z,,,,,,,,,9351.43,completion,,,,,,,low,low,,,,,,TRUE,,,,FALSE,112922.6,112921.5,103553.347,103751.1,103570.07,112738.055,1,16,,
