sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-17T20:02:32.372Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1920,""screen_height"":1080,""scroll_width"":945,""scroll_height"":918,""window_innerWidth"":945,""window_innerHeight"":966,""devicePixelRatio"":1}",,,,,,,,,,16393.18399998808,response,,,,,,,,,,,,,,,,consent,click button,,,17005.299999952316,16996.69999998808,586.866,808.7999999523163,603.516,16803.553,,,,{}
Demography form,html.Form,1,2023-11-17T20:02:43.236Z,,,20,,,,,,,,11066.14699998808,form submission,,,,,,,,,male,,,,,,,,,,,27869.899999976158,27869.69999998808,16786.967,17005.5,16803.553,27670.174,,,,
Welcome,html.Screen,2,2023-11-17T20:03:21.924Z,,,,,,,"[""asym"",""col""]",,,,38886.72599997616,response,,,,,,,,,,,,,,,,continue,click button,,,66557.39999997616,66556.89999997616,27653.479,27870,27670.174,66353.356,,,,
demo_instructions,html.Screen,3,2023-11-17T20:04:03.484Z,,,,,,,,,,,41763.34399998808,response,,,,,,,,,,,,,,,,continue,click button,,,108117.29999995232,108116.69999998808,66336.829,66557.5,66353.356,107919.921,,,,
trial,html.Screen,4_0_0,2023-11-17T20:04:16.168Z,,,,0,1.0345332538240786,-1.4719115945084815,,,true,lh,12880.878999952314,response,-0.849847885203758,1.2,-1.2,0.973447384095442,1.2,-1.2,low,high,,ISIC_0192490.JPG,,ISIC_9612228.JPG,29,true,0.3600000000000002,lh,keypress(e),100,false,120801.19999998808,120800.79999995232,107903.5,108117.39999997616,107919.921,120619.886,1,16,1,
sequence,flow.Sequence,4_0,2023-11-17T20:04:16.168Z,,,,,,,,,,,12880.878999952314,completion,,,,,,,low,high,,,,,,true,,,,,false,120801.89999997616,120800.79999995232,107903.5,108117.39999997616,107919.921,120619.886,1,16,,
trial,html.Screen,4_1_0,2023-11-17T20:04:23.929Z,,,,0,1.1547137855907486,-1.0185275168641534,,,true,lh,7942.413999952318,response,-1.064425982109969,1.2,-1.2,0.958564243697126,1.2,-1.2,low,high,,ISIC_7604870.JPG,,ISIC_3203344.JPG,29,true,0.3600000000000002,lh,keypress(e),100,false,128562.59999996424,128562.29999995232,120603.316,120802.09999996424,120619.886,128369.863,1,16,2,
sequence,flow.Sequence,4_1,2023-11-17T20:04:23.930Z,,,,,,,,,,,7942.413999952318,completion,,,,,,,low,high,,,,,,true,,,,,false,128563.09999996424,128562.29999995232,120603.316,120802,120619.886,128369.863,1,16,,
trial,html.Screen,4_2_0,2023-11-17T20:04:28.971Z,,,,0,0.9566823908868002,-0.9602125665128364,,,true,lh,5234.036999976161,response,-0.8479396253253069,1.2,-1.2,1.011054319516718,1.2,-1.2,low,high,,ISIC_0056784.JPG,,ISIC_0063521.JPG,29,true,0.3600000000000002,lh,keypress(e),100,false,133604.19999998808,133603.89999997616,128353.489,128563.29999995232,128369.863,133419.87,1,16,3,
sequence,flow.Sequence,4_2,2023-11-17T20:04:28.972Z,,,,,,,,,,,5234.036999976161,completion,,,,,,,low,high,,,,,,true,,,,,false,133604.79999995232,133603.89999997616,128353.489,128563.19999998808,128369.863,133419.87,1,16,,
