sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-20T15:19:23.486Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1680,""screen_height"":1050,""scroll_width"":825,""scroll_height"":888,""window_innerWidth"":825,""window_innerHeight"":936,""devicePixelRatio"":1}",,,,,,,,,,37235.326000023844,response,,,,,,,,,,,,,,,,consent,click button,,,37924.10000002384,37915.60000002384,663.475,872.3999999761581,680.274,37735.913,,,,{}
Demography form,html.Form,1,2023-11-20T15:19:28.999Z,,,23,,,,,,,,5700.287000047683,form submission,,,,,,,,,male,,,,,,,,,,,43436.39999997616,43436.200000047684,37719.211,37924.299999952316,37735.913,43246.614,,,,
Welcome,html.Screen,2,2023-11-20T15:19:40.086Z,,,,,,,"[""bor"",""col""]",,,,11276.885999999999,response,,,,,,,,,,,,,,,,continue,click button,,,54524.200000047684,54523.5,43229.822,43436.60000002384,43246.614,54317.929,,,,
demo_instructions,html.Screen,3,2023-11-20T15:20:13.952Z,,,,,,,,,,,34069.87099995232,response,,,,,,,,,,,,,,,,continue,click button,,,88388.5,88387.79999995232,54301.237,54524.200000047684,54317.929,88183.866,,,,
trial,html.Screen,4_0_0,2023-11-20T15:20:18.967Z,,,,0,-1.2691569063625474,-1.1264228993232308,,,false,hh,5219.834000047689,response,1.3246728710248594,1.2,-1.2,1.1527736000922424,1.2,-1.2,high,high,,ISIC_4980656.JPG,,ISIC_6876281.JPG,25,true,0.14,lh,keypress(e),100,false,93404.29999995232,93403.70000004768,88167.263,88388.70000004768,88183.866,93226.991,1,16,1,
sequence,flow.Sequence,4_0,2023-11-20T15:20:18.991Z,,,,,,,,,,,5219.834000047689,completion,,,,,,,high,high,,,,,,true,,,,,false,93427.39999997616,93403.70000004768,88167.263,88388.70000004768,88183.866,93226.991,1,16,,
trial,html.Screen,4_1_0,2023-11-20T15:20:24.844Z,,,,0,-1.0849202097813322,-1.0851127310415287,,,false,hh,6053.209000047689,response,1.1684835186766898,1.2,-1.2,1.2921331918483707,1.2,-1.2,high,high,,ISIC_0010289.JPG,,ISIC_5920470.JPG,25,true,0.14,ll,keypress(f),100,false,99280.79999995232,99280.20000004768,93193.722,93427.70000004768,93226.991,99088.44,1,16,2,
sequence,flow.Sequence,4_1,2023-11-20T15:20:24.845Z,,,,,,,,,,,6053.209000047689,completion,,,,,,,high,high,,,,,,true,,,,,false,99281.60000002384,99280.20000004768,93193.722,93427.60000002384,93226.991,99088.44,1,16,,
trial,html.Screen,4_2_0,2023-11-20T15:20:31.828Z,,,,0,-1.186629690487006,-1.3269945600040771,,,false,hh,7176.1600000238395,response,1.0659165756604234,1.2,-1.2,1.0867497316848906,1.2,-1.2,high,high,,ISIC_0015390.JPG,,ISIC_5807608.JPG,25,true,0.14,hl,keypress(j),100,false,106264.79999995232,106264.60000002384,99071.831,99282,99088.44,106068.703,1,16,3,
sequence,flow.Sequence,4_2,2023-11-20T15:20:31.828Z,,,,,,,,,,,7176.1600000238395,completion,,,,,,,high,high,,,,,,true,,,,,false,106265.10000002384,106264.60000002384,99071.831,99282,99088.44,106068.703,1,16,,
