sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2023-11-27T19:00:11.822Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":360,""screen_width"":1920,""screen_height"":1080,""scroll_width"":945,""scroll_height"":918,""window_innerWidth"":945,""window_innerHeight"":966,""devicePixelRatio"":1}",,,,,,,,,,23476.928999904634,response,,,,,,,,,,,,,,,,,consent,click button,,,24274.39999985695,24273.599999904633,779.911,777.2999999523163,796.671,24279.961,,,,{}
Demography form,html.Form,1,2023-11-27T19:00:18.655Z,,,18,,,,,,,,6826.838999952317,form submission,,,,,,,,,female,,,,,,,,,,,,31107,31106.799999952316,24263.5,24274.699999809265,24279.961,31130.059,,,,
Welcome,html.Screen,2,2023-11-27T19:00:59.871Z,,,,,,,"[""asym"",""col""]",,,,41191.34099985695,response,,,,,,,,,,,,,,,,,continue,click button,,,72322,72321.39999985695,31113.447,31107.099999904633,31130.059,72330.015,,,,
demo_instructions,html.Screen,3,2023-11-27T19:01:52.527Z,,,,,,,,,,,52647.485,response,,,,,,,,,,,,,,,,,continue,click button,,,124978.09999990463,124977.5,72313.459,72322.09999990463,72330.015,124996.734,,,,
trial,html.Screen,4_0_0,2023-11-27T19:02:02.372Z,,,,0,-1.3132505134129506,-1.0949928516457437,,,true,hh,9826.266000000003,response,1.1168199061753437,1.2,-1.2,1.212287319329914,1.2,-1.2,high,high,,ISIC_0066935.JPG,,ISIC_5919355.JPG,,25,true,0.15000000000000002,hh,keypress(i),100,false,134823.29999995232,134823,124963.528,124978.19999980927,124996.734,134846.786,1,16,1,
sequence,flow.Sequence,4_0,2023-11-27T19:02:02.387Z,,,,,,,,,,,9826.266000000003,completion,,,,,,,high,high,,,,,,,true,,,,,false,134837.69999980927,134823,124963.528,124978.19999980927,124996.734,134846.786,1,16,,
trial,html.Screen,4_1_0,2023-11-27T19:02:05.309Z,,,,0,-1.1783311757907324,-1.266840220031473,,,true,hh,2912.613999856956,response,1.053007132776416,1.2,-1.2,1.341217082060068,1.2,-1.2,high,high,,ISIC_8241457.JPG,,ISIC_0024208.JPG,,25,true,0.15000000000000002,hh,keypress(i),100,false,137759.59999990463,137759.39999985695,134830.143,134837.79999995232,134846.786,137780.326,1,16,2,
sequence,flow.Sequence,4_1,2023-11-27T19:02:05.309Z,,,,,,,,,,,2912.613999856956,completion,,,,,,,high,high,,,,,,,true,,,,,false,137759.89999985695,137759.39999985695,134830.143,134837.79999995232,134846.786,137780.326,1,16,,
trial,html.Screen,4_2_0,2023-11-27T19:02:10.853Z,,,,0,-1.2232482867978696,-1.2451219760556858,,,true,hh,5523.473999952315,response,1.0878102877901663,1.2,-1.2,1.3154097543539391,1.2,-1.2,high,high,,ISIC_0030889.JPG,,ISIC_1413242.JPG,,25,true,0.15000000000000002,hh,keypress(i),100,false,143304.09999990463,143303.79999995232,137763.452,137760,137780.326,143330.331,1,16,3,
sequence,flow.Sequence,4_2,2023-11-27T19:02:10.854Z,,,,,,,,,,,5523.473999952315,completion,,,,,,,high,high,,,,,,,true,,,,,false,143304.5,143303.79999995232,137763.452,137760,137780.326,143330.331,1,16,,
