sender,sender_type,sender_id,timestamp,meta,,age,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,gender,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url
informed_consent,html.Screen,0,2024-07-13T01:04:58.424Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:127.0) Gecko/20100101 Firefox/127.0"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Asia/Taipei"",""timezoneOffset"":-480,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":759,""window_innerWidth"":1440,""window_innerHeight"":806,""devicePixelRatio"":2}",,,,,,,,,,4825.26,response,,,,,,,,,,,,,,,,,consent,click button,,,5967,5954,1112.38,1116,1128.74,5993.1,,,,{}
Demography form,html.Form,1,2024-07-13T01:05:05.266Z,,,43,,,,,,,,6812.9,form submission,,,,,,,,,male,,,,,,,,,,,,12809,12806,5975.92,5967,5993.1,12821.32,,,,
Welcome,html.Screen,2,2024-07-13T01:05:31.436Z,,,,,,,"[""asym"",""bor""]",,,,26129.68,response,,,,,,,,,,,,,,,,,continue,click button,,,38979,38951,12805.3,12809,12821.32,38987.24,,,,
demo_instructions,html.Screen,3,2024-07-13T01:06:00.154Z,,,,,,,,,,,28692.760000000002,response,,,,,,,,,,,,,,,,,continue,click button,,,67698,67680,38972.52,38980,38987.24,67701.3,,,,
trial,html.Screen,4_0_0,2024-07-13T01:06:06.015Z,,,,0,-1.255256820488545,-1.1206426433062562,,,false,hh,5856.699999999997,response,1.086647361897092,1.2,-1.2,1.1528935990320313,1.2,-1.2,high,high,,ISIC_0024652.JPG,,ISIC_3505339.JPG,,26,true,0.15000000000000002,ll,keypress(f),100,false,73559,73558,67692.4,67699,67701.3,73564.08,1,16,1,
sequence,flow.Sequence,4_0,2024-07-13T01:06:06.017Z,,,,,,,,,,,5856.699999999997,completion,,,,,,,high,high,,,,,,,true,,,,,false,73560,73558,67692.4,67699,67701.3,73564.08,1,16,,
trial,html.Screen,4_1_0,2024-07-13T01:06:12.438Z,,,,0,-1.2322060291690602,-1.2686491386389651,,,true,hh,6414.919999999998,response,1.0789197754694622,1.2,-1.2,1.1654690806750023,1.2,-1.2,high,high,,ISIC_0011697.JPG,,ISIC_1576437.JPG,,26,true,0.15000000000000002,hh,keypress(i),100,false,79982,79979,73559.88,73560,73564.08,79993.88,1,16,2,
sequence,flow.Sequence,4_1,2024-07-13T01:06:12.440Z,,,,,,,,,,,6414.919999999998,completion,,,,,,,high,high,,,,,,,true,,,,,false,79984,79979,73559.88,73560,73564.08,79993.88,1,16,,
trial,html.Screen,4_2_0,2024-07-13T01:06:20.859Z,,,,0,-1.1033977063872138,-1.2513071571733083,,,true,hh,8407.119999999995,response,1.201100953917304,1.2,-1.2,1.1751492358160105,1.2,-1.2,high,high,,ISIC_0025472.JPG,,ISIC_0647224.JPG,,26,true,0.15000000000000002,hh,keypress(i),100,false,88402,88401,79977.94,79985,79993.88,88422.06,1,16,3,
sequence,flow.Sequence,4_2,2024-07-13T01:06:20.859Z,,,,,,,,,,,8407.119999999995,completion,,,,,,,high,high,,,,,,,true,,,,,false,88403,88401,79977.94,79985,79993.88,88422.06,1,16,,
trial,html.Screen,4_3_0,2024-07-13T01:06:25.677Z,,,,0,-1.1383813631375823,-1.1319312220332556,,,true,hh,4797.940000000002,response,1.0959058628476686,1.2,-1.2,1.1684835186766898,1.2,-1.2,high,high,,ISIC_6227397.JPG,,ISIC_5920470.JPG,,26,true,0.15000000000000002,hh,keypress(i),100,false,93221,93220,88405.28,88403,88422.06,93234.44,1,16,4,
sequence,flow.Sequence,4_3,2024-07-13T01:06:25.678Z,,,,,,,,,,,4797.940000000002,completion,,,,,,,high,high,,,,,,,true,,,,,false,93221,93220,88405.28,88403,88422.06,93234.44,1,16,,
trial,html.Screen,4_4_0,2024-07-13T01:06:40.042Z,,,,0,1.1137763092539212,1.1599906701455132,,,true,ll,14350.559999999998,response,-1.29026082950341,1.2,-1.2,-1.144672688339213,1.2,-1.2,low,low,,ISIC_5413788.JPG,,ISIC_0054317.JPG,,30,true,0.1,ll,keypress(f),100,false,107585,107585,93221.94,93221,93234.44,107591.58,1,16,5,
sequence,flow.Sequence,4_4,2024-07-13T01:06:40.042Z,,,,,,,,,,,14350.559999999998,completion,,,,,,,low,low,,,,,,,true,,,,,false,107586,107585,93221.94,93221,93234.44,107591.58,1,16,,
trial,html.Screen,4_5_0,2024-07-13T01:06:44.480Z,,,,0,1.0870240111136478,1.332340670965917,,,true,ll,4431.419999999998,response,-1.1033977063872138,1.2,-1.2,-1.2513071571733083,1.2,-1.2,low,low,,ISIC_0000660.JPG,,ISIC_0025472.JPG,,53,true,0.15000000000000002,ll,keypress(f),100,false,112023,112023,107586.22,107586,107591.58,112039.58,1,16,6,
sequence,flow.Sequence,4_5,2024-07-13T01:06:44.480Z,,,,,,,,,,,4431.419999999998,completion,,,,,,,low,low,,,,,,,true,,,,,false,112024,112023,107586.22,107586,107591.58,112039.58,1,16,,
trial,html.Screen,4_6_0,2024-07-13T01:06:50.712Z,,,,0,1.3189473926989124,1.0770264364718942,,,true,ll,6215.419999999998,response,-1.135372722680314,1.2,-1.2,-1.0926414044454305,1.2,-1.2,low,low,,ISIC_6093728.JPG,,ISIC_2355513.JPG,,53,true,0.15000000000000002,ll,keypress(f),100,false,118256,118255,112024.4,112025,112039.58,118268.84,1,16,7,
sequence,flow.Sequence,4_6,2024-07-13T01:06:50.712Z,,,,,,,,,,,6215.419999999998,completion,,,,,,,low,low,,,,,,,true,,,,,false,118256,118255,112024.4,112025,112039.58,118268.84,1,16,,
trial,html.Screen,4_7_0,2024-07-13T01:06:55.079Z,,,,0,1.1598623261077452,1.203269031614007,,,true,ll,4353.1600000000035,response,-1.150547408535662,1.2,-1.2,-1.3135268651968233,1.2,-1.2,low,low,,ISIC_0002639.JPG,,ISIC_0072568.JPG,,53,true,0.15000000000000002,ll,keypress(f),100,false,122623,122622,118253.92,118257,118268.84,122649.18,1,16,8,
sequence,flow.Sequence,4_7,2024-07-13T01:06:55.079Z,,,,,,,,,,,4353.1600000000035,completion,,,,,,,low,low,,,,,,,true,,,,,false,122623,122622,118253.92,118257,118268.84,122649.18,1,16,,
trial,html.Screen,4_8_0,2024-07-13T01:07:05.696Z,,,,0,0.8534691366511764,-1.03975580494588,,,true,lh,10590.820000000007,response,-0.991146183030456,1.2,-1.2,0.9949639823722534,1.2,-1.2,low,high,,ISIC_0056788.JPG,,ISIC_6342224.JPG,,27,true,0.42000000000000026,lh,keypress(e),100,false,133240,133240,122621.66,122624,122649.18,133258.52,1,16,9,
sequence,flow.Sequence,4_8,2024-07-13T01:07:05.697Z,,,,,,,,,,,10590.820000000007,completion,,,,,,,low,high,,,,,,,true,,,,,false,133240,133240,122621.66,122624,122649.18,133258.52,1,16,,
trial,html.Screen,4_9_0,2024-07-13T01:07:13.139Z,,,,0,1.0865333402803938,-1.0542635307358266,,,true,lh,7423.4800000000105,response,-0.7871162143493278,1.2,-1.2,0.8429329800778957,1.2,-1.2,low,high,,ISIC_0034006.JPG,,ISIC_3439215.JPG,,27,true,0.42000000000000026,lh,keypress(e),100,false,140682,140682,133241.68,133242,133258.52,140703.96,1,16,10,
sequence,flow.Sequence,4_9,2024-07-13T01:07:13.139Z,,,,,,,,,,,7423.4800000000105,completion,,,,,,,low,high,,,,,,,true,,,,,false,140684,140682,133241.68,133242,133258.52,140703.96,1,16,,
trial,html.Screen,4_10_0,2024-07-13T01:07:19.609Z,,,,0,1.0143509683988825,-1.3163955902021656,,,true,lh,6449.040000000008,response,-0.809764442462202,1.2,-1.2,1.005337148078696,1.2,-1.2,low,high,,ISIC_0062031.JPG,,ISIC_2379379.JPG,,27,true,0.42000000000000026,lh,keypress(e),100,false,147153,147153,140681.14,140684,140703.96,147165.58,1,16,11,
sequence,flow.Sequence,4_10,2024-07-13T01:07:19.609Z,,,,,,,,,,,6449.040000000008,completion,,,,,,,low,high,,,,,,,true,,,,,false,147154,147153,140681.14,140684,140703.96,147165.58,1,16,,
trial,html.Screen,4_11_0,2024-07-13T01:07:33.911Z,,,,0,1.020990671779317,-1.0116513850520903,,,true,lh,14289.420000000013,response,-0.948927472020595,1.2,-1.2,1.0660437155921598,1.2,-1.2,low,high,,ISIC_0011995.JPG,,ISIC_5808758.JPG,,27,true,0.42000000000000026,lh,keypress(e),100,false,161456,161455,147151.46,147154,147165.58,161473.5,1,16,12,
sequence,flow.Sequence,4_11,2024-07-13T01:07:33.912Z,,,,,,,,,,,14289.420000000013,completion,,,,,,,low,high,,,,,,,true,,,,,false,161457,161455,147151.46,147154,147165.58,161473.5,1,16,,
trial,html.Screen,4_12_0,2024-07-13T01:07:43.174Z,,,,0,-0.9235571765207048,1.0008081653938232,,,true,hl,9244.5,response,0.869932994914832,1.2,-1.2,-0.8880533324432531,1.2,-1.2,high,low,,ISIC_8796632.JPG,,ISIC_8617084.JPG,,26,true,0.3600000000000002,hl,keypress(j),100,false,170718,170718,161454.36,161457,161473.5,170734.04,1,16,13,
sequence,flow.Sequence,4_12,2024-07-13T01:07:43.175Z,,,,,,,,,,,9244.5,completion,,,,,,,high,low,,,,,,,true,,,,,false,170719,170718,161454.36,161457,161473.5,170734.04,1,16,,
trial,html.Screen,4_13_0,2024-07-13T01:07:50.626Z,,,,0,-0.7911024675435955,0.7975977016137676,,,true,hl,7434.959999999992,response,0.8487429103619056,1.2,-1.2,-0.9778257804233036,1.2,-1.2,high,low,,ISIC_5813642.JPG,,ISIC_4554863.JPG,,33,true,0.42000000000000026,hl,keypress(j),100,false,178170,178169,170719.92,170719,170734.04,178194.74,1,16,14,
sequence,flow.Sequence,4_13,2024-07-13T01:07:50.626Z,,,,,,,,,,,7434.959999999992,completion,,,,,,,high,low,,,,,,,true,,,,,false,178171,178169,170719.92,170719,170734.04,178194.74,1,16,,
trial,html.Screen,4_14_0,2024-07-13T01:08:00.599Z,,,,0,-1.0164576835546473,0.8120626538423016,,,true,hl,9947.26000000001,response,0.991282840649944,1.2,-1.2,-0.9397921099839784,1.2,-1.2,high,low,,ISIC_6002694.JPG,,ISIC_0000463.JPG,,33,true,0.42000000000000026,hl,keypress(j),100,false,188143,188142,178171.22,178172,178194.74,188155.12,1,16,15,
sequence,flow.Sequence,4_14,2024-07-13T01:08:00.600Z,,,,,,,,,,,9947.26000000001,completion,,,,,,,high,low,,,,,,,true,,,,,false,188144,188142,178171.22,178171,178194.74,188155.12,1,16,,
trial,html.Screen,4_15_0,2024-07-13T01:08:05.681Z,,,,0,-1.0164576835546473,0.8120626538423016,,,true,hl,5069.880000000005,response,1.331700944308701,1.2,-1.2,-0.9395196143259436,1.2,-1.2,high,low,,ISIC_6002694.JPG,,ISIC_1668831.JPG,,33,true,0.42000000000000026,hl,keypress(j),100,false,193226,193225,188144.06,188144,188155.12,193235.94,1,16,16,
sequence,flow.Sequence,4_15,2024-07-13T01:08:05.682Z,,,,,,,,,,,5069.880000000005,completion,,,,,,,high,low,,,,,,,true,,,,,false,193226,193225,188144.06,188144,188155.12,193235.94,1,16,,
demonstration_loop,flow.Loop,4,2024-07-13T01:08:05.682Z,,,,,,,,,,,125523.7,completion,,,,,,,,,,,,,,,true,,,,,false,193227,193225,67692.4,67699,67701.3,193235.94,1,16,,
practice_instructions,html.Screen,5,2024-07-13T01:08:14.334Z,,,,,,,,,,,8627.059999999998,response,,,,,,,,,,,,,,,,,continue,click button,,,201879,201863,193227.46,193227,193235.94,201912.5,,,,
trial,html.Screen,6_0_0,2024-07-13T01:08:23.570Z,,,,1,0.9433720631499012,-1.0582071940347648,,,false,lh,9201.5,response,-1.0213365328004047,1.2,-1.2,1.088524359911891,1.2,-1.2,low,high,,ISIC_4890201.JPG,,ISIC_5434229.JPG,,27,true,0.42000000000000026,hl,keypress(j),0,false,211115,211114,201875.12,201880,201912.5,211116.14,1,40,1,
sequence,flow.Sequence,6_0,2024-07-13T01:08:23.571Z,,,,,,,,,,,9201.5,completion,,,,,,,low,high,,,,,,,true,,,,,false,211116,211114,201875.12,201880,201912.5,211116.14,1,40,,
trial,html.Screen,6_1_0,2024-07-13T01:08:30.704Z,,,,1,-0.7998855902596425,1.1518579145663017,,,false,hl,7132.859999999986,response,1.2695509547992938,1.2,-1.2,-0.9641099676945492,1.2,-1.2,high,low,,ISIC_0025061.JPG,,ISIC_0025841.JPG,,26,true,0.3600000000000002,hh,keypress(i),0,false,218250,218249,211115.62,211116,211116.14,218250.44,1,40,2,
sequence,flow.Sequence,6_1,2024-07-13T01:08:30.704Z,,,,,,,,,,,7132.859999999986,completion,,,,,,,high,low,,,,,,,true,,,,,false,218250,218249,211115.62,211116,211116.14,218250.44,1,40,,
trial,html.Screen,6_2_0,2024-07-13T01:08:39.096Z,,,,1,1.0789197754694622,1.1654690806750023,,,true,ll,8390.559999999998,response,-0.943978570218156,1.2,-1.2,-0.9420387258741144,1.2,-1.2,low,low,,ISIC_1576437.JPG,,ISIC_0011642.JPG,,339,true,0.42000000000000026,ll,keypress(f),0,false,226641,226641,218249.82,218250,218250.44,226663.08,1,40,3,
sequence,flow.Sequence,6_2,2024-07-13T01:08:39.097Z,,,,,,,,,,,8390.559999999998,completion,,,,,,,low,low,,,,,,,true,,,,,false,226642,226641,218249.82,218250,218250.44,226663.08,1,40,,
trial,html.Screen,6_3_0,2024-07-13T01:08:46.194Z,,,,1,0.9454713230140772,-0.9245167441969216,,,false,lh,7075.920000000013,response,-1.4092385398614515,1.2,-1.2,1.3046237992197836,1.2,-1.2,low,high,,ISIC_9101055.JPG,,ISIC_7254359.JPG,,27,true,0.42000000000000026,ll,keypress(f),0,false,233740,233739,226642.24,226642,226663.08,233740.76,1,40,4,
sequence,flow.Sequence,6_3,2024-07-13T01:08:46.195Z,,,,,,,,,,,7075.920000000013,completion,,,,,,,low,high,,,,,,,true,,,,,false,233740,233739,226642.24,226642,226663.08,233740.76,1,40,,
trial,html.Screen,6_4_0,2024-07-13T01:08:57.104Z,,,,1,0.858338058340649,-0.9540612223480284,,,true,lh,10909.23999999999,response,-0.9873794329144926,1.2,-1.2,0.7991077882008257,1.2,-1.2,low,high,,ISIC_8922893.JPG,,ISIC_0013498.JPG,,27,true,0.42000000000000026,lh,keypress(e),0,false,244650,244650,233740.24,233740,233740.76,244650.84,1,40,5,
sequence,flow.Sequence,6_4,2024-07-13T01:08:57.105Z,,,,,,,,,,,10909.23999999999,completion,,,,,,,low,high,,,,,,,true,,,,,false,244651,244650,233740.24,233740,233740.76,244650.84,1,40,,
