sender,sender_type,sender_id,timestamp,meta,blockNo,c1,c2,condition,control_tolerance,correct,correctResponse,duration,ended_on,f1,f1_high,f1_low,f2,f2_high,f2_low,feature_level1,feature_level2,img_left,img_reveal,img_right,n_control_images,n_target_images,practice,range_tolerance,response,response_action,selection_duration,staircase,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,age,gender
informed_consent,html.Screen,0,2024-07-08T23:44:37.991Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-AU"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1536,""screen_height"":864,""scroll_width"":792,""scroll_height"":696,""window_innerWidth"":792,""window_innerHeight"":744,""devicePixelRatio"":1.25}",,,,,,,,1335.6,response,,,,,,,,,,,,,,,,continue,keypress(Space),,,2621.5,2620.3,1268.4,1262.8,1284.7,2623.4,,,,{},31,
Demography form,html.Form,1,2024-07-08T23:44:42.352Z,,,,,,,,,4358.4,response,,,,,,,,,,,,,,,,continue,keypress(Space),,,6982.4,6981.8,2618.9,2621.7,2623.4,6983.7,,,,,,male
Welcome,html.Screen,2,2024-07-08T23:45:10.386Z,,,,,"[""asym"",""bor""]",,,,28031.4,response,,,,,,,,,,,,,,,,continue,keypress(Space),,,35015.7,35015.1,6976.7,6982.6,6983.7,35033.8,,,,,,
demo_instructions,html.Screen,3,2024-07-08T23:45:40.868Z,,,,,,,,,30463.2,response,,,,,,,,,,,,,,,,continue,keypress(Space),,,65497.6,65497,35018.278,35015.8,35033.8,65515.914,,,,,,
trial,html.Screen,4_0_0,2024-07-08T23:45:43.468Z,,0,-1.249379266,-1.133600856,,,TRUE,hh,2581.586,response,1.250314916,1.2,-1.2,1.079659123,1.2,-1.2,high,high,ISIC_0061475.JPG,,ISIC_2466892.JPG,,26,TRUE,0.15,hh,keypress(i),100,FALSE,68097.6,68097.5,65515.914,65497.7,65515.914,68113.5,1,16,1,,,
sequence,flow.Sequence,4_0,2024-07-08T23:45:43.468Z,,,,,,,,,2581.586,completion,,,,,,,high,high,,,,,,TRUE,,,,,FALSE,68097.9,68097.5,65515.914,65497.7,65515.914,68113.5,1,16,,,,
trial,html.Screen,4_1_0,2024-07-08T23:45:45.828Z,,0,-1.224955294,-1.172301512,,,TRUE,hh,2344.6,response,1.27245846,1.2,-1.2,1.14110161,1.2,-1.2,high,high,ISIC_0055251.JPG,,ISIC_0059625.JPG,,26,TRUE,0.15,hh,keypress(i),100,FALSE,70458.3,70458.1,68097.198,68098,68113.5,70478.3,1,16,2,,,
sequence,flow.Sequence,4_1,2024-07-08T23:45:45.828Z,,,,,,,,,2344.6,completion,,,,,,,high,high,,,,,,TRUE,,,,,FALSE,70458.6,70458.1,68097.198,68097.9,68113.5,70478.3,1,16,,,,
trial,html.Screen,4_2_0,2024-07-08T23:45:48.175Z,,0,-1.224955294,-1.172301512,,,TRUE,hh,2327,response,1.121032506,1.2,-1.2,1.149864832,1.2,-1.2,high,high,ISIC_0055251.JPG,,ISIC_0032162.JPG,,26,TRUE,0.15,hh,keypress(i),100,FALSE,72805.6,72805.3,70461.962,70458.7,70478.3,72826.5,1,16,3,,,
sequence,flow.Sequence,4_2,2024-07-08T23:45:48.176Z,,,,,,,,,2327,completion,,,,,,,high,high,,,,,,TRUE,,,,,FALSE,72805.7,72805.3,70461.962,70458.6,70478.3,72826.5,1,16,,,,
trial,html.Screen,4_3_0,2024-07-08T23:45:51.798Z,,0,-1.11647295,-1.297893575,,,TRUE,hh,3601,response,1.138843016,1.2,-1.2,1.270055235,1.2,-1.2,high,high,ISIC_0034166.JPG,,ISIC_9939653.JPG,,26,TRUE,0.15,hh,keypress(i),100,FALSE,76427.7,76427.5,72810.098,72805.8,72826.5,76456.9,1,16,4,,,
sequence,flow.Sequence,4_3,2024-07-08T23:45:51.798Z,,,,,,,,,3601,completion,,,,,,,high,high,,,,,,TRUE,,,,,FALSE,76427.9,76427.5,72810.098,72805.8,72826.5,76456.9,1,16,,,,
trial,html.Screen,4_4_0,2024-07-08T23:46:00.909Z,,0,1.201239509,1.061898577,,,TRUE,ll,9082.2,response,-1.291552336,1.2,-1.2,-1.126497779,1.2,-1.2,low,low,ISIC_9876004.JPG,,ISIC_0502582.JPG,,30,TRUE,0.1,ll,keypress(f),100,FALSE,85539.4,85539.1,76440.1,76428.1,76456.9,85565.9,1,16,5,,,
sequence,flow.Sequence,4_4,2024-07-08T23:46:00.910Z,,,,,,,,,9082.2,completion,,,,,,,low,low,,,,,,TRUE,,,,,FALSE,85539.7,85539.1,76440.1,76428,76456.9,85565.9,1,16,,,,
trial,html.Screen,4_5_0,2024-07-08T23:46:03.833Z,,0,1.202408356,1.149077673,,,TRUE,ll,2896.7,response,-1.069816262,1.2,-1.2,-1.219634567,1.2,-1.2,low,low,ISIC_3566243.JPG,,ISIC_0030552.JPG,,53,TRUE,0.15,ll,keypress(f),100,FALSE,88462.8,88462.6,85549.4,85539.8,85565.9,88480.1,1,16,6,,,
sequence,flow.Sequence,4_5,2024-07-08T23:46:03.833Z,,,,,,,,,2896.7,completion,,,,,,,low,low,,,,,,TRUE,,,,,FALSE,88463.1,88462.6,85549.4,85539.8,85565.9,88480.1,1,16,,,,
trial,html.Screen,4_6_0,2024-07-08T23:46:07.090Z,,0,1.201100954,1.175149236,,,TRUE,ll,3240.1,response,-1.17215054,1.2,-1.2,-1.332467679,1.2,-1.2,low,low,ISIC_0647224.JPG,,ISIC_0000167.JPG,,53,TRUE,0.15,ll,keypress(f),100,FALSE,91720.3,91720.2,88463.732,88463.4,88480.1,91744.2,1,16,7,,,
sequence,flow.Sequence,4_6,2024-07-08T23:46:07.090Z,,,,,,,,,3240.1,completion,,,,,,,low,low,,,,,,TRUE,,,,,FALSE,91720.5,91720.2,88463.732,88463.3,88480.1,91744.2,1,16,,,,
