"condition","pID","optim_result","best_model","PS_A","PS_B","PI"
"ab",6,"success","PI, PS(B), DS","no","yes","yes"
"ab",5,"success","PI, DS","no","no","yes"
"ab",8,"success","PI, DS","no","no","yes"
"ab",18,"success","PI, DS","no","no","yes"
"ab",NA,"maybe failed","PI, DS","no","no","yes"
"ab",10,"success","1_RHO, PS(B), DS","no","yes","no"
"ab",12,"success","1_RHO, PS(B), DS","no","yes","no"
"ab",17,"success","1_RHO, PS(B), DS","no","yes","no"
"ab",1,"success","1_RHO, DS","no","no","no"
"ab",2,"maybe failed","1_RHO, DS","no","no","no"
"ab",3,"success","1_RHO, DS","no","no","no"
"ab",4,"success","1_RHO, DS","no","no","no"
"ab",7,"success","1_RHO, DS","no","no","no"
"ab",9,"success","1_RHO, DS","no","no","no"
"ab",11,"success","1_RHO, DS","no","no","no"
"ab",13,"maybe failed","1_RHO, DS","no","no","no"
"ab",14,"success","1_RHO, DS","no","no","no"
"ab",15,"maybe failed","1_RHO, DS","no","no","no"
"ab",16,"success","1_RHO, DS","no","no","no"
"ab",19,"success","1_RHO, DS","no","no","no"
"ab",20,"success","1_RHO, DS","no","no","no"
"ab",NA,"success","1_RHO, DS","no","no","no"
"ac",8,"success","PI, PS(A), DS","yes","no","yes"
"ac",10,"success","PI, DS","no","no","yes"
"ac",1,"success","1_RHO, PS(A), DS","yes","no","no"
"ac",2,"success","1_RHO, PS(B), DS","no","yes","no"
"ac",6,"success","1_RHO, PS(B), DS","no","yes","no"
"ac",13,"success","1_RHO, PS(B), DS","no","yes","no"
"ac",17,"success","1_RHO, PS(B), DS","no","yes","no"
"ac",3,"success","1_RHO, DS","no","no","no"
"ac",4,"success","1_RHO, DS","no","no","no"
"ac",5,"success","1_RHO, DS","no","no","no"
"ac",7,"success","1_RHO, DS","no","no","no"
"ac",9,"success","1_RHO, DS","no","no","no"
"ac",11,"maybe failed","1_RHO, DS","no","no","no"
"ac",12,"success","1_RHO, DS","no","no","no"
"ac",14,"success","1_RHO, DS","no","no","no"
"ac",15,"success","1_RHO, DS","no","no","no"
"ac",16,"success","1_RHO, DS","no","no","no"
"ac",18,"success","1_RHO, DS","no","no","no"
"ac",19,"success","1_RHO, DS","no","no","no"
"bc",13,"maybe failed","PI, PS, DS","yes","yes","yes"
"bc",14,"success","PI, PS(B), DS","no","yes","yes"
"bc",2,"success","PI, DS","no","no","yes"
"bc",19,"maybe failed","PI, DS","no","no","yes"
"bc",9,"success","1_RHO, PS(A), DS","yes","no","no"
"bc",1,"success","1_RHO, PS(B), DS","no","yes","no"
"bc",3,"success","1_RHO, PS(B), DS","no","yes","no"
"bc",4,"success","1_RHO, PS(B), DS","no","yes","no"
"bc",5,"success","1_RHO, PS(B), DS","no","yes","no"
"bc",6,"success","1_RHO, PS(B), DS","no","yes","no"
"bc",10,"success","1_RHO, PS(B), DS","no","yes","no"
"bc",11,"success","1_RHO, PS(B), DS","no","yes","no"
"bc",15,"success","1_RHO, PS(B), DS","no","yes","no"
"bc",17,"success","1_RHO, PS(B), DS","no","yes","no"
"bc",7,"success","1_RHO, DS","no","no","no"
"bc",8,"success","1_RHO, DS","no","no","no"
"bc",12,"success","1_RHO, DS","no","no","no"
"bc",16,"success","1_RHO, DS","no","no","no"
"bc",18,"maybe failed","1_RHO, DS","no","no","no"
"bc",20,"success","1_RHO, DS","no","no","no"
