"n_participants","n_trials","n_players","sim_no","sp_rho","sp_p","rmse","connected","n_components","mu_dist","max_dist","e_density","diam","med_deg","min_deg","max_deg"
10,4500,5000,1,0.486866746698679,4e-04,14.6533272672114,0,13,5.31552587646077,Inf,0.0183673469387755,8,2,0,6
10,4500,5000,2,0.183097238895558,0.2025,18.4726825339473,0,9,5.6056338028169,Inf,0.0183673469387755,5,2,0,5
10,4500,5000,3,0.237262905162065,0.0971,17.8516105715983,0,10,5.12305516265912,Inf,0.0183673469387755,10,2,0,6
10,4500,5000,4,0.678271308523409,0,11.6189500386223,0,11,3.9344262295082,Inf,0.0183673469387755,6,1.5,0,8
10,4500,5000,5,0.264345738295318,0.0638,17.5328263551545,0,8,4.23058252427184,Inf,0.0183673469387755,6,2,0,5
10,4500,5000,6,0.299015606242497,0.0353,17.1160743162677,0,8,5.90024330900243,Inf,0.0183673469387755,8,2,0,5
10,4500,5000,7,0.458535414165666,9e-04,15.0505813841194,0,10,4.69723183391003,Inf,0.0183673469387755,6,2,0,5
10,4500,5000,8,0.382280912364946,0.0065,16.071092059969,0,14,4.38795986622074,Inf,0.0183673469387755,9,2,0,7
10,4500,5000,9,0.698247298919568,0,11.2552210107132,0,7,5.44959443800695,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,10,0.457382953181272,9e-04,15.0665191733194,0,13,3.55441478439425,Inf,0.0183673469387755,8,1.5,0,6
10,4500,5000,11,0.441824729891957,0.0015,15.2800523559312,0,13,4.13798008534851,Inf,0.0183673469387755,8,2,0,5
10,4500,5000,12,0.097719087635054,0.4984,19.4113368936815,0,9,5.44579780755177,Inf,0.0183673469387755,4,2,0,6
10,4500,5000,13,0.561968787515006,0,13.5440023626696,0,13,3.52658227848101,Inf,0.0183673469387755,10,2,0,6
10,4500,5000,14,0.408307322929172,0.0035,15.7302256817885,0,11,5.03275529865125,Inf,0.0183673469387755,5,1.5,0,6
10,4500,5000,15,0.386122448979592,0.0059,16.0212359073824,0,11,4.64776119402985,Inf,0.0183673469387755,7,1.5,0,6
10,4500,5000,16,0.312076830732293,0.0278,16.9564147153813,0,11,4.48517520215633,Inf,0.0183673469387755,9,2,0,5
10,4500,5000,17,0.158319327731092,0.2713,18.7499333332148,0,12,4.71,Inf,0.0183673469387755,7,2,0,4
10,4500,5000,18,0.497238895558223,3e-04,14.505171491575,0,10,4.72983354673496,Inf,0.0183673469387755,8,2,0,5
10,4500,5000,19,0.424921968787515,0.0023,15.5087072317457,0,12,4.77760252365931,Inf,0.0183673469387755,11,2,0,5
10,4500,5000,20,0.352316926770708,0.0125,16.4547865376613,0,10,4.76175548589342,Inf,0.0183673469387755,5,1.5,0,7
10,4500,5000,21,0.431836734693878,0.0019,15.4155765380345,0,12,4.69034090909091,Inf,0.0183673469387755,7,2,0,4
10,4500,5000,22,0.519327731092437,1e-04,14.1844985811977,0,8,5.16094420600858,Inf,0.0183673469387755,4,2,0,5
10,4500,5000,23,0.301128451380552,0.034,17.0903481532706,0,12,4.85781990521327,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,24,0.385642256902761,0.006,16.0274764077193,0,14,4.12212389380531,Inf,0.0183673469387755,8,2,0,6
10,4500,5000,25,0.331380552220888,0.0192,16.7176553379952,0,8,5.01196581196581,Inf,0.0183673469387755,6,1.5,0,6
10,4500,5000,26,0.360288115246098,0.0105,16.3535928774077,0,9,5.71196283391405,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,27,0.558031212484994,0,13.6044110493619,0,10,4.32558139534884,Inf,0.0183673469387755,6,2,0,4
10,4500,5000,28,0.484657863145258,4e-04,14.6846859006245,0,11,5.2140221402214,Inf,0.0183673469387755,8,2,0,5
10,4500,5000,29,0.533637454981993,1e-04,13.9728307797669,0,6,6.52596685082873,Inf,0.0183673469387755,6,2,0,4
10,4500,5000,30,0.401296518607443,0.0041,15.8227684050548,0,10,4.97695262483995,Inf,0.0183673469387755,9,2,0,5
10,4500,5000,31,0.147755102040816,0.3048,18.8669022364563,0,10,4.73848987108656,Inf,0.0183673469387755,9,2,0,4
10,4500,5000,32,0.289507803121249,0.0418,17.2313667478816,0,12,4.57396449704142,Inf,0.0183673469387755,9,2,0,6
10,4500,5000,33,0.36547418967587,0.0094,16.2874184572019,0,10,6.11585365853659,Inf,0.0183673469387755,5,2,0,6
10,4500,5000,34,0.400912364945978,0.0042,15.8278236027573,0,10,4.58514724711908,Inf,0.0183673469387755,8,2,0,6
10,4500,5000,35,0.258583433373349,0.07,17.6011363269534,0,9,5.79028132992327,Inf,0.0183673469387755,7,1,0,6
10,4500,5000,36,0.334357743097239,0.0181,16.6805275695944,0,11,3.71290322580645,Inf,0.0183673469387755,8,2,0,5
10,4500,5000,37,0.433373349339736,0.0018,15.3948043183407,0,9,6.06211936662607,Inf,0.0183673469387755,8,2,0,4
10,4500,5000,38,0.473805522208884,6e-04,14.8377895927931,0,11,5.45283018867925,Inf,0.0183673469387755,8,2,0,6
10,4500,5000,39,0.475918367346939,6e-04,14.8081058883302,0,10,4.99653979238754,Inf,0.0183673469387755,5,2,0,5
10,4500,5000,40,0.308523409363746,0.0297,17,0,14,4.37688442211055,Inf,0.0183673469387755,8,2,0,6
10,4500,5000,41,0.429147659063625,0.002,15.451860729375,0,13,3.93084112149533,Inf,0.0183673469387755,15,1.5,0,6
10,4500,5000,42,0.512893157262905,2e-04,14.2786553988812,0,8,5.8698296836983,Inf,0.0183673469387755,5,2,0,5
10,4500,5000,43,0.396206482593037,0.0047,15.889619252833,0,13,3.7046511627907,Inf,0.0183673469387755,7,1,0,6
10,4500,5000,44,0.219591836734694,0.1253,18.0565777488427,0,12,3.73882352941176,Inf,0.0183673469387755,9,2,0,5
10,4500,5000,45,0.43078031212485,0.002,15.4298412175887,0,11,4.44334277620397,Inf,0.0183673469387755,5,2,0,5
10,4500,5000,46,0.484657863145258,4e-04,14.6846859006245,0,13,4.14642262895175,Inf,0.0183673469387755,6,2,0,6
10,4500,5000,47,0.548811524609844,0,13.7448172050413,0,11,4.99191374663073,Inf,0.0183673469387755,7,1.5,0,7
10,4500,5000,48,0.296038415366146,0.0372,17.1522593263978,0,13,4.74708818635607,Inf,0.0183673469387755,8,2,0,5
10,4500,5000,49,0.286530612244898,0.044,17.2673101553195,0,12,4.50666666666667,Inf,0.0183673469387755,6,2,0,4
10,4500,5000,50,0.475726290516206,6e-04,14.8108068652589,0,11,5.02834645669291,Inf,0.0183673469387755,10,2,0,5
10,4500,5000,51,0.492052821128451,3e-04,14.5794375748861,0,13,3.95053003533569,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,52,0.375366146458583,0.0076,16.1604455384126,0,11,4.40345368916797,Inf,0.0183673469387755,6,2,0,5
10,4500,5000,53,0.36499399759904,0.0095,16.2935570088302,0,13,3.40672782874618,Inf,0.0183673469387755,6,2,0,6
10,4500,5000,54,0.424249699879952,0.0023,15.5177317930167,0,14,4.19063545150502,Inf,0.0183673469387755,10,2,0,5
10,4500,5000,55,0.481488595438175,5e-04,14.7295621116176,0,9,4.79210220673635,Inf,0.0183673469387755,8,2,0,5
10,4500,5000,56,0.45719087635054,0.001,15.0691738326957,0,11,4.27860696517413,Inf,0.0183673469387755,9,2,0,5
10,4500,5000,57,0.261752701080432,0.0666,17.5635987200801,0,11,5.29596412556054,Inf,0.0183673469387755,6,2,0,5
10,4500,5000,58,0.507707082833133,2e-04,14.3540934927985,0,7,6.13606194690265,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,59,0.558799519807923,0,13.592645070037,0,12,4.55988023952096,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,60,0.441056422569028,0.0015,15.2905199388379,0,12,4.38870431893688,Inf,0.0183673469387755,8,2,0,7
10,4500,5000,61,0.316782713085234,0.0254,16.8985206453109,0,9,5.68873403019744,Inf,0.0183673469387755,9,2,0,4
10,4500,5000,62,0.374981992797119,0.0076,16.1653951389999,0,7,7.3138500635324,Inf,0.0183673469387755,6,2,0,5
10,4500,5000,63,0.411956782713085,0.0032,15.6818366271301,0,10,4.41588156123822,Inf,0.0183673469387755,8,1,0,5
10,4500,5000,64,0.426458583433373,0.0022,15.4880599172395,0,13,3.98650674662669,Inf,0.0183673469387755,14,2,0,6
10,4500,5000,65,0.516542617046819,2e-04,14.2253295216666,0,9,5.64961636828644,Inf,0.0183673469387755,8,2,0,5
10,4500,5000,66,0.352701080432173,0.0124,16.4499240119825,0,10,4.00828729281768,Inf,0.0183673469387755,5,2,0,5
10,4500,5000,67,0.366914765906363,0.0091,16.2689889052762,0,10,4.66585365853659,Inf,0.0183673469387755,8,1,0,5
10,4500,5000,68,0.425018007202881,0.0023,15.5074175799841,0,15,3.87130801687764,Inf,0.0183673469387755,6,2,0,6
10,4500,5000,69,0.512412965186074,2e-04,14.2856571427429,0,10,5.0510752688172,Inf,0.0183673469387755,5,2,0,4
10,4500,5000,70,0.202593037214886,0.1579,18.2515752744797,0,9,4.75222551928783,Inf,0.0183673469387755,7,2,0,4
10,4500,5000,71,0.412725090036014,0.0031,15.6716304193278,0,10,4.95698924731183,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,72,0.661944777911164,0,11.9079805172834,0,10,5.63166144200627,Inf,0.0183673469387755,6,2,0,5
10,4500,5000,73,0.0730372148859544,0.6132,19.6743487821071,0,14,4.30150753768844,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,74,0.478319327731092,5e-04,14.7743020139701,0,9,5.43605359317905,Inf,0.0183673469387755,5,2,0,5
10,4500,5000,75,0.302472989195678,0.0332,17.0739567763304,0,12,4.50371747211896,Inf,0.0183673469387755,7,2,0,5
10,4500,5000,76,0.344345738295318,0.0147,16.5553616692599,0,9,5.62017804154303,Inf,0.0183673469387755,8,2,0,4
