id,x_sym,y_sym,compact,ap_ratio
ISIC_0000000.png,0.129,0.2277,0.6937,68.2967
ISIC_0000001.png,0.0906,0.0694,0.8009,34.9662
ISIC_0000002.png,0.2265,0.2201,0.4582,39.6201
ISIC_0000003.png,0.1446,0.1296,0.7716,69.2186
ISIC_0000004.png,0.4188,0.457,0.2273,36.0221
ISIC_0000005.png,0.2527,0.1073,0.5625,42.2186
ISIC_0000006.png,0.1962,0.1432,0.7411,26.9629
ISIC_0000007.png,0.0789,0.0713,0.7889,35.3086
ISIC_0000008.png,0.1005,0.1577,0.6777,63.7979
ISIC_0000009.png,0.1044,0.1965,0.6839,53.1222
ISIC_0000010.png,0.2047,0.1346,0.7776,30.7324
ISIC_0000011.png,0.2158,0.1865,0.6398,41.3463
ISIC_0000012.png,0.2284,0.0873,0.6893,18.0629
ISIC_0000013.png,0.0721,0.0687,0.8093,61.3117
ISIC_0000014.png,0.081,0.1068,0.6114,50.7845
ISIC_0000015.png,0.1679,0.1164,0.7045,49.5208
ISIC_0000016.png,0.3632,0.302,0.3615,24.7477
ISIC_0000017.png,0.1503,0.2366,0.6127,31.4926
ISIC_0000018.png,0.1316,0.163,0.6461,52.2473
ISIC_0000019.png,0.2625,0.2256,0.307,43.9865
ISIC_0000020.png,0.1001,0.0921,0.6827,50.7924
ISIC_0000022.png,0.2034,0.2171,0.5827,56.1423
ISIC_0000024.png,0.2319,0.4261,0.3835,33.3367
ISIC_0000026.png,0.2651,0.267,0.5462,38.8555
ISIC_0000029.png,0.4678,0.4503,0.1728,23.5993
ISIC_0000030.png,0.6856,0.6273,0.2949,27.2003
ISIC_0000031.png,0.7957,0.7599,0.3576,21.6397
ISIC_0000035.png,0.1131,0.0788,0.7114,71.7046
ISIC_0000036.png,0.2381,0.2184,0.6159,37.136
ISIC_0000040.png,0.372,0.1853,0.6029,19.7193
ISIC_0000042.png,0.1236,0.18,0.5003,43.3164
ISIC_0000043.png,0.1555,0.1627,0.5392,59.0858
ISIC_0000046.png,0.2938,0.2791,0.4728,40.4358
ISIC_0000054.png,1.7002,1.7558,0.011,2.7904
ISIC_0000056.png,0.2204,0.1534,0.6237,64.5155
ISIC_0000058.png,0.1233,0.1427,0.6898,61.5236
ISIC_0000065.png,0.1129,0.0586,0.6673,57.399
ISIC_0000072.png,0.1351,0.135,0.809,40.2248
ISIC_0000074.png,0.534,0.6765,0.3134,23.7963
ISIC_0000077.png,0.265,0.2262,0.4486,35.3941
ISIC_0000078.png,0.1905,0.1266,0.7484,34.5772
ISIC_0000087.png,0.117,0.1362,0.6062,54.4673
ISIC_0000118.png,0.1324,0.1661,0.4953,38.8036
ISIC_0000121.png,0.0696,0.0691,0.7374,58.3381
ISIC_0000129.png,1.4981,1.3081,0.0296,2.9047
ISIC_0000135.png,1.6474,1.0249,0.1154,5.6787
ISIC_0000139.png,0.1159,0.1278,0.7631,55.9089
ISIC_0000140.png,0.8238,0.5474,0.1655,14.0578
ISIC_0000141.png,0.1003,0.1049,0.709,26.9166
ISIC_0000142.png,0.3536,0.2215,0.4254,27.559
ISIC_0000143.png,0.2103,0.2858,0.5173,24.8736
ISIC_0000144.png,0.179,0.1444,0.6661,48.0452
ISIC_0000145.png,0.1409,0.1117,0.6977,58.7157
ISIC_0000146.png,0.2229,0.1626,0.1189,27.9297
ISIC_0000148.png,0.1021,0.0963,0.7733,46.1231
ISIC_0000150.png,0.7794,0.3706,0.3683,28.4895
ISIC_0000151.png,0.1179,0.1047,0.771,28.0579
ISIC_0000152.png,0.347,0.2681,0.498,19.4609
ISIC_0000153.png,0.7669,0.8538,0.2029,17.747
ISIC_0000154.png,0.1162,0.1116,0.6763,36.0996
ISIC_0000155.png,0.4728,0.3546,0.1395,26.51
ISIC_0000159.png,0.1242,0.1327,0.7619,67.7243
ISIC_0000161.png,0.272,0.3607,0.5254,55.1734
ISIC_0000162.png,0.1341,0.1683,0.6869,64.2479
ISIC_0000163.png,0.1353,0.1885,0.7168,26.2991
ISIC_0000164.png,1.8919,1.9023,0.0151,2.5392
