sender,timestamp,pID,condition,blockNo,practice,trialNo,img_left,img_right,winner,loser,duration,response,ended_on,subject
trial,2023-09-02T01:00:56.431Z,,colourful,1.0,False,1.0,ISIC_0032447,ISIC_9008095,ISIC_0032447,ISIC_9008095,1647.6550000000861,0,response,7
trial,2023-09-02T01:01:00.712Z,,colourful,1.0,False,2.0,ISIC_0057762,ISIC_7053271,ISIC_0057762,ISIC_7053271,2882.346000000107,0,response,7
trial,2023-09-02T01:01:08.864Z,,colourful,1.0,False,3.0,ISIC_0015079,ISIC_0033530,ISIC_0033530,ISIC_0015079,6748.249999999709,1,response,7
trial,2023-09-02T01:01:16.074Z,,colourful,1.0,False,4.0,ISIC_0054744,ISIC_0046597,ISIC_0054744,ISIC_0046597,5810.993000000104,0,response,7
trial,2023-09-02T01:01:19.278Z,,colourful,1.0,False,5.0,ISIC_0033612,ISIC_0026655,ISIC_0033612,ISIC_0026655,1788.3340000000026,0,response,7
trial,2023-09-02T01:01:26.982Z,,colourful,1.0,False,6.0,ISIC_0561634,ISIC_0033954,ISIC_0033954,ISIC_0561634,6305.464000000007,1,response,7
trial,2023-09-02T01:01:33.018Z,,colourful,1.0,False,7.0,ISIC_9509757,ISIC_2856521,ISIC_2856521,ISIC_9509757,4637.634999999893,1,response,7
trial,2023-09-02T01:01:36.605Z,,colourful,1.0,False,8.0,ISIC_0064863,ISIC_0031074,ISIC_0064863,ISIC_0031074,2172.031999999919,0,response,7
trial,2023-09-02T01:01:45.632Z,,colourful,1.0,False,9.0,ISIC_0024380,ISIC_7839741,ISIC_0024380,ISIC_7839741,7611.3399999999965,0,response,7
trial,2023-09-02T01:01:51.459Z,,colourful,1.0,False,10.0,ISIC_0070679,ISIC_0070585,ISIC_0070585,ISIC_0070679,4422.647999999725,1,response,7
trial,2023-09-02T01:01:54.651Z,,colourful,1.0,False,11.0,ISIC_8024841,ISIC_9449365,ISIC_8024841,ISIC_9449365,1793.9130000000878,0,response,7
trial,2023-09-02T01:01:58.831Z,,colourful,1.0,False,12.0,ISIC_0056017,ISIC_0062762,ISIC_0062762,ISIC_0056017,2781.5069999997213,1,response,7
trial,2023-09-02T01:02:05.542Z,,colourful,1.0,False,13.0,ISIC_3039880,ISIC_3509838,ISIC_3509838,ISIC_3039880,5311.932999999815,1,response,7
trial,2023-09-02T01:02:09.225Z,,colourful,1.0,False,14.0,ISIC_0073156,ISIC_0450295,ISIC_0073156,ISIC_0450295,2284.716999999713,0,response,7
trial,2023-09-02T01:02:13.517Z,,colourful,1.0,False,15.0,ISIC_2141003,ISIC_0034232,ISIC_0034232,ISIC_2141003,2888.2739999999176,1,response,7
trial,2023-09-02T01:02:17.733Z,,colourful,1.0,False,16.0,ISIC_7312977,ISIC_4708642,ISIC_7312977,ISIC_4708642,2817.3769999999204,0,response,7
trial,2023-09-02T01:02:20.937Z,,colourful,1.0,False,17.0,ISIC_0009713,ISIC_0068950,ISIC_0068950,ISIC_0009713,1805.3199999998037,1,response,7
trial,2023-09-02T01:02:25.308Z,,colourful,1.0,False,18.0,ISIC_6381852,ISIC_5910595,ISIC_6381852,ISIC_5910595,2972.767999999807,0,response,7
trial,2023-09-02T01:02:28.033Z,,colourful,1.0,False,19.0,ISIC_0011215,ISIC_6995731,ISIC_6995731,ISIC_0011215,1326.6340000001078,1,response,7
trial,2023-09-02T01:02:31.053Z,,colourful,1.0,False,20.0,ISIC_0005062,ISIC_3568218,ISIC_3568218,ISIC_0005062,1621.260999999708,1,response,7
trial,2023-09-02T01:02:34.246Z,,colourful,1.0,False,21.0,ISIC_0911264,ISIC_0066733,ISIC_0066733,ISIC_0911264,1789.4949999999958,1,response,7
trial,2023-09-02T01:02:37.105Z,,colourful,1.0,False,22.0,ISIC_2241388,ISIC_3305055,ISIC_3305055,ISIC_2241388,1460.3400000000838,1,response,7
trial,2023-09-02T01:02:39.957Z,,colourful,1.0,False,23.0,ISIC_0034265,ISIC_0033538,ISIC_0034265,ISIC_0033538,1435.7249999997439,0,response,7
trial,2023-09-02T01:02:42.969Z,,colourful,1.0,False,24.0,ISIC_8496052,ISIC_5049165,ISIC_8496052,ISIC_5049165,1613.2110000000685,0,response,7
trial,2023-09-02T01:02:46.353Z,,colourful,1.0,False,25.0,ISIC_2379379,ISIC_0033412,ISIC_0033412,ISIC_2379379,1985.3649999997,1,response,7
trial,2023-09-02T01:02:48.933Z,,colourful,1.0,False,26.0,ISIC_0034133,ISIC_7630831,ISIC_0034133,ISIC_7630831,1181.640000000014,0,response,7
trial,2023-09-02T01:02:52.891Z,,colourful,1.0,False,27.0,ISIC_4846741,ISIC_0014291,ISIC_0014291,ISIC_4846741,2547.2230000001146,1,response,7
trial,2023-09-02T01:03:00.773Z,,colourful,1.0,False,28.0,ISIC_0006624,ISIC_2768787,ISIC_2768787,ISIC_0006624,6462.752000000095,1,response,7
trial,2023-09-02T01:03:06.410Z,,colourful,1.0,False,29.0,ISIC_0025169,ISIC_3043475,ISIC_0025169,ISIC_3043475,4230.822000000102,0,response,7
trial,2023-09-02T01:03:10.703Z,,colourful,1.0,False,30.0,ISIC_0032248,ISIC_0010416,ISIC_0032248,ISIC_0010416,2893.7349999998114,0,response,7
trial,2023-09-02T01:03:14.503Z,,colourful,1.0,False,31.0,ISIC_7043369,ISIC_0013141,ISIC_0013141,ISIC_7043369,2378.216999999713,1,response,7
trial,2023-09-02T01:03:24.555Z,,colourful,1.0,False,32.0,ISIC_0059423,ISIC_7587513,ISIC_0059423,ISIC_7587513,8650.718999999925,0,response,7
trial,2023-09-02T01:03:27.263Z,,colourful,1.0,False,33.0,ISIC_0031611,ISIC_0033708,ISIC_0033708,ISIC_0031611,1296.2619999996969,1,response,7
trial,2023-09-02T01:03:30.211Z,,colourful,1.0,False,34.0,ISIC_0028415,ISIC_4699989,ISIC_0028415,ISIC_4699989,1549.4149999998044,0,response,7
trial,2023-09-02T01:03:36.542Z,,colourful,1.0,False,35.0,ISIC_4899386,ISIC_7253401,ISIC_7253401,ISIC_4899386,4932.388000000094,1,response,7
trial,2023-09-02T01:03:40.994Z,,colourful,1.0,False,36.0,ISIC_0026115,ISIC_0064936,ISIC_0064936,ISIC_0026115,3053.7210000000778,1,response,7
trial,2023-09-02T01:03:43.959Z,,colourful,1.0,False,37.0,ISIC_3632419,ISIC_3401631,ISIC_3401631,ISIC_3632419,1548.3779999999097,1,response,7
trial,2023-09-02T01:03:47.010Z,,colourful,1.0,False,38.0,ISIC_0032420,ISIC_4708642,ISIC_0032420,ISIC_4708642,1652.292999999714,0,response,7
trial,2023-09-02T01:03:50.949Z,,colourful,1.0,False,39.0,ISIC_5929687,ISIC_0030404,ISIC_0030404,ISIC_5929687,2524.37699999992,1,response,7
trial,2023-09-02T01:03:53.993Z,,colourful,1.0,False,40.0,ISIC_0009236,ISIC_0069257,ISIC_0069257,ISIC_0009236,1620.985999999917,1,response,7
trial,2023-09-02T01:04:00.451Z,,colourful,1.0,False,41.0,ISIC_0070601,ISIC_1638436,ISIC_0070601,ISIC_1638436,5046.684999999823,0,response,7
trial,2023-09-02T01:04:03.226Z,,colourful,1.0,False,42.0,ISIC_0029944,ISIC_5961333,ISIC_0029944,ISIC_5961333,1374.984999999986,0,response,7
trial,2023-09-02T01:04:06.739Z,,colourful,1.0,False,43.0,ISIC_0000550,ISIC_0059349,ISIC_0000550,ISIC_0059349,2114.7739999999176,0,response,7
trial,2023-09-02T01:04:09.559Z,,colourful,1.0,False,44.0,ISIC_0057495,ISIC_0054528,ISIC_0054528,ISIC_0057495,1421.5420000000158,1,response,7
trial,2023-09-02T01:04:12.539Z,,colourful,1.0,False,45.0,ISIC_7024807,ISIC_4433832,ISIC_4433832,ISIC_7024807,1575.6729999998352,1,response,7
trial,2023-09-02T01:04:19.423Z,,colourful,1.0,False,46.0,ISIC_4548995,ISIC_9572761,ISIC_4548995,ISIC_9572761,5478.663999999932,0,response,7
trial,2023-09-02T01:04:22.588Z,,colourful,1.0,False,47.0,ISIC_3392451,ISIC_0011779,ISIC_0011779,ISIC_3392451,1745.4270000000838,1,response,7
trial,2023-09-02T01:04:25.664Z,,colourful,1.0,False,48.0,ISIC_9014786,ISIC_0010231,ISIC_0010231,ISIC_9014786,1673.5620000000927,1,response,7
trial,2023-09-02T01:04:31.991Z,,colourful,1.0,False,49.0,ISIC_0002162,ISIC_0068798,ISIC_0068798,ISIC_0002162,4928.98899999971,1,response,7
trial,2023-09-02T01:04:35.036Z,,colourful,1.0,False,50.0,ISIC_0071733,ISIC_0063544,ISIC_0063544,ISIC_0071733,1640.1879999997327,1,response,7
trial,2023-09-02T01:04:58.853Z,,colourful,2.0,False,1.0,ISIC_0004691,ISIC_0000161,ISIC_0000161,ISIC_0004691,1362.844999999797,1,response,7
trial,2023-09-02T01:05:02.138Z,,colourful,2.0,False,2.0,ISIC_8440070,ISIC_0065582,ISIC_0065582,ISIC_8440070,1870.4719999998924,1,response,7
trial,2023-09-02T01:05:05.118Z,,colourful,2.0,False,3.0,ISIC_0028467,ISIC_6710082,ISIC_0028467,ISIC_6710082,1581.1769999997923,0,response,7
trial,2023-09-02T01:05:09.186Z,,colourful,2.0,False,4.0,ISIC_0070046,ISIC_0025231,ISIC_0025231,ISIC_0070046,2669.431999999797,1,response,7
trial,2023-09-02T01:05:12.253Z,,colourful,2.0,False,5.0,ISIC_3653492,ISIC_0027304,ISIC_3653492,ISIC_0027304,1651.371000000101,0,response,7
trial,2023-09-02T01:05:15.062Z,,colourful,2.0,False,6.0,ISIC_4329176,ISIC_0068837,ISIC_0068837,ISIC_4329176,1406.4969999999162,1,response,7
trial,2023-09-02T01:05:19.449Z,,colourful,2.0,False,7.0,ISIC_0958701,ISIC_5510604,ISIC_0958701,ISIC_5510604,2968.2619999998133,0,response,7
trial,2023-09-02T01:05:24.068Z,,colourful,2.0,False,8.0,ISIC_4329176,ISIC_0074311,ISIC_0074311,ISIC_4329176,3220.125,1,response,7
trial,2023-09-02T01:05:31.128Z,,colourful,2.0,False,9.0,ISIC_0000483,ISIC_9134453,ISIC_0000483,ISIC_9134453,5661.626999999804,0,response,7
trial,2023-09-02T01:05:34.380Z,,colourful,2.0,False,10.0,ISIC_0030898,ISIC_0056228,ISIC_0030898,ISIC_0056228,1849.1029999998864,0,response,7
trial,2023-09-02T01:05:42.548Z,,colourful,2.0,False,11.0,ISIC_0000358,ISIC_8282404,ISIC_8282404,ISIC_0000358,6769.306999999913,1,response,7
trial,2023-09-02T01:05:49.901Z,,colourful,2.0,False,12.0,ISIC_4623351,ISIC_7693611,ISIC_4623351,ISIC_7693611,5954.402000000118,0,response,7
trial,2023-09-02T01:05:55.815Z,,colourful,2.0,False,13.0,ISIC_0553565,ISIC_0030981,ISIC_0030981,ISIC_0553565,4516.005000000121,1,response,7
trial,2023-09-02T01:05:59.102Z,,colourful,2.0,False,14.0,ISIC_2332127,ISIC_0029363,ISIC_0029363,ISIC_2332127,1888.016999999701,1,response,7
trial,2023-09-02T01:06:07.986Z,,colourful,2.0,False,15.0,ISIC_0016161,ISIC_0047022,ISIC_0047022,ISIC_0016161,7468.098999999696,1,response,7
trial,2023-09-02T01:06:11.766Z,,colourful,2.0,False,16.0,ISIC_3277722,ISIC_0057881,ISIC_3277722,ISIC_0057881,2381.500999999815,0,response,7
trial,2023-09-02T01:06:14.986Z,,colourful,2.0,False,17.0,ISIC_0952221,ISIC_0062530,ISIC_0062530,ISIC_0952221,1807.3699999997043,1,response,7
