sender,timestamp,pID,subject,condition,blockNo,practice,trialNo,img_left,img_right,winner,loser,duration,response,ended_on
trial,2023-09-06T19:32:11.681Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,1.0,ISIC_1202976,ISIC_9175856,ISIC_9175856,ISIC_1202976,1860.4950000238605,1,response
trial,2023-09-06T19:32:14.392Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,2.0,ISIC_0011520,ISIC_8419663,ISIC_0011520,ISIC_8419663,1204.5560000477126,0,response
trial,2023-09-06T19:32:17.372Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,3.0,ISIC_8951909,ISIC_0990298,ISIC_0990298,ISIC_8951909,1468.1170000476995,1,response
trial,2023-09-06T19:32:20.241Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,4.0,ISIC_0033980,ISIC_9469284,ISIC_0033980,ISIC_9469284,1354.0259999762056,0,response
trial,2023-09-06T19:32:23.622Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,5.0,ISIC_1075605,ISIC_3933658,ISIC_3933658,ISIC_1075605,1868.5629999761004,1,response
trial,2023-09-06T19:32:26.492Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,6.0,ISIC_7340112,ISIC_7798403,ISIC_7340112,ISIC_7798403,1355.3160000714706,0,response
trial,2023-09-06T19:32:29.189Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,7.0,ISIC_5961092,ISIC_0013472,ISIC_5961092,ISIC_0013472,1185.2350000477163,0,response
trial,2023-09-06T19:32:32.314Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,8.0,ISIC_0000031,ISIC_2067576,ISIC_0000031,ISIC_2067576,1610.732000023825,0,response
trial,2023-09-06T19:32:35.246Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,9.0,ISIC_0033640,ISIC_0000176,ISIC_0000176,ISIC_0033640,1426.274000047706,1,response
trial,2023-09-06T19:32:38.537Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,10.0,ISIC_8170849,ISIC_7244604,ISIC_7244604,ISIC_8170849,1784.2090000715107,1,response
trial,2023-09-06T19:32:41.686Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,11.0,ISIC_2151856,ISIC_0015045,ISIC_0015045,ISIC_2151856,1632.5709999999963,1,response
trial,2023-09-06T19:32:44.282Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,12.0,ISIC_0055013,ISIC_0069204,ISIC_0055013,ISIC_0069204,1078.564000047627,0,response
trial,2023-09-06T19:32:46.958Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,13.0,ISIC_7404937,ISIC_3094758,ISIC_3094758,ISIC_7404937,1171.7110000477405,1,response
trial,2023-09-06T19:32:49.650Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,14.0,ISIC_7658133,ISIC_0014395,ISIC_0014395,ISIC_7658133,1180.6940000714967,1,response
trial,2023-09-06T19:32:52.586Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,15.0,ISIC_6486856,ISIC_0026329,ISIC_6486856,ISIC_0026329,1433.893000071519,0,response
trial,2023-09-06T19:32:55.743Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,16.0,ISIC_0026868,ISIC_6425888,ISIC_6425888,ISIC_0026868,1640.436000023852,1,response
trial,2023-09-06T19:32:58.583Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,17.0,ISIC_5239856,ISIC_5920470,ISIC_5239856,ISIC_5920470,1330.752000071574,0,response
trial,2023-09-06T19:33:01.275Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,18.0,ISIC_2822718,ISIC_6019374,ISIC_6019374,ISIC_2822718,1189.6659999761032,1,response
trial,2023-09-06T19:33:03.823Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,19.0,ISIC_0010426,ISIC_0163812,ISIC_0010426,ISIC_0163812,1037.9290000238689,0,response
trial,2023-09-06T19:33:06.952Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,20.0,ISIC_1706912,ISIC_2526170,ISIC_2526170,ISIC_1706912,1616.8239999761572,1,response
trial,2023-09-06T19:33:09.870Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,21.0,ISIC_0026659,ISIC_7636321,ISIC_0026659,ISIC_7636321,1401.6710000477037,0,response
trial,2023-09-06T19:33:13.733Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,22.0,ISIC_0070463,ISIC_0011546,ISIC_0011546,ISIC_0070463,2348.1500000715023,1,response
trial,2023-09-06T19:33:16.416Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,23.0,ISIC_0064034,ISIC_7604596,ISIC_0064034,ISIC_7604596,1164.5200000476325,0,response
trial,2023-09-06T19:33:19.076Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,24.0,ISIC_0014217,ISIC_1768733,ISIC_0014217,ISIC_1768733,1141.4530000477098,0,response
trial,2023-09-06T19:33:22.187Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,25.0,ISIC_0056796,ISIC_0485914,ISIC_0485914,ISIC_0056796,1602.5630000476958,1,response
trial,2023-09-06T19:33:24.991Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,26.0,ISIC_0054244,ISIC_0030481,ISIC_0030481,ISIC_0054244,1289.7139999761712,1,response
trial,2023-09-06T19:33:27.874Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,27.0,ISIC_8095877,ISIC_0069056,ISIC_0069056,ISIC_8095877,1372.954000000027,1,response
trial,2023-09-06T19:33:30.615Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,28.0,ISIC_0012055,ISIC_0058580,ISIC_0012055,ISIC_0058580,1231.614999976125,0,response
trial,2023-09-06T19:33:33.404Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,29.0,ISIC_0497390,ISIC_0032441,ISIC_0032441,ISIC_0497390,1270.1090000238041,1,response
trial,2023-09-06T19:33:36.591Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,30.0,ISIC_0029686,ISIC_5176419,ISIC_0029686,ISIC_5176419,1674.535999976215,0,response
trial,2023-09-06T19:33:39.796Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,31.0,ISIC_0055143,ISIC_0034256,ISIC_0034256,ISIC_0055143,1695.7430000476302,1,response
trial,2023-09-06T19:33:42.649Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,32.0,ISIC_0003793,ISIC_2458609,ISIC_2458609,ISIC_0003793,1349.1069999762112,1,response
trial,2023-09-06T19:33:46.813Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,33.0,ISIC_0028984,ISIC_0071568,ISIC_0071568,ISIC_0028984,2646.37800004764,1,response
trial,2023-09-06T19:33:49.841Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,34.0,ISIC_6155981,ISIC_0032841,ISIC_0032841,ISIC_6155981,1524.481000023894,1,response
trial,2023-09-06T19:33:52.712Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,35.0,ISIC_0060148,ISIC_0027282,ISIC_0060148,ISIC_0027282,1363.0590000714874,0,response
trial,2023-09-06T19:33:55.557Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,36.0,ISIC_8174951,ISIC_7839712,ISIC_7839712,ISIC_8174951,1341.02299997618,1,response
trial,2023-09-06T19:33:58.169Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,37.0,ISIC_6768006,ISIC_0067172,ISIC_0067172,ISIC_6768006,1103.375,1,response
trial,2023-09-06T19:34:00.732Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,38.0,ISIC_8901371,ISIC_7565128,ISIC_8901371,ISIC_7565128,1050.1979999761097,0,response
trial,2023-09-06T19:34:03.440Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,39.0,ISIC_9134453,ISIC_1962844,ISIC_1962844,ISIC_9134453,1191.1039999761852,1,response
trial,2023-09-06T19:34:06.009Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,40.0,ISIC_6478506,ISIC_6336926,ISIC_6336926,ISIC_6478506,1060.813999976148,1,response
trial,2023-09-06T19:34:08.766Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,41.0,ISIC_9684318,ISIC_0064318,ISIC_0064318,ISIC_9684318,1250.9730000238637,1,response
trial,2023-09-06T19:34:11.685Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,42.0,ISIC_0068015,ISIC_0013204,ISIC_0068015,ISIC_0013204,1403.253000000026,0,response
trial,2023-09-06T19:34:14.233Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,43.0,ISIC_0059722,ISIC_0011484,ISIC_0011484,ISIC_0059722,1035.258999976213,1,response
trial,2023-09-06T19:34:16.980Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,44.0,ISIC_5048571,ISIC_0063425,ISIC_5048571,ISIC_0063425,1231.8379999761241,0,response
trial,2023-09-06T19:34:19.742Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,45.0,ISIC_5883331,ISIC_5839679,ISIC_5839679,ISIC_5883331,1243.3980000476586,1,response
trial,2023-09-06T19:34:22.354Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,46.0,ISIC_0033125,ISIC_3501997,ISIC_0033125,ISIC_3501997,1106.6199999761302,0,response
trial,2023-09-06T19:34:25.048Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,47.0,ISIC_9568138,ISIC_0072171,ISIC_9568138,ISIC_0072171,1183.8310000238707,0,response
trial,2023-09-06T19:34:27.781Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,48.0,ISIC_0060452,ISIC_5895384,ISIC_5895384,ISIC_0060452,1216.9649999761023,1,response
trial,2023-09-06T19:34:30.495Z,58ed7f5aac62dc00019366a9,54,asymmetry,1.0,False,49.0,ISIC_6831482,ISIC_5434055,ISIC_5434055,ISIC_6831482,1197.389000023832,1,response
