sender,timestamp,pID,subject,condition,blockNo,practice,trialNo,img_left,img_right,winner,loser,duration,response,ended_on
trial,2023-09-06T19:17:36.368Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,1.0,ISIC_4322723,ISIC_4882123,ISIC_4322723,ISIC_4882123,2195.102000762941,1,response
trial,2023-09-06T19:17:40.794Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,2.0,ISIC_9382494,ISIC_8350973,ISIC_9382494,ISIC_8350973,2921.7810000000027,1,response
trial,2023-09-06T19:17:44.991Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,3.0,ISIC_1768733,ISIC_0350472,ISIC_1768733,ISIC_0350472,2686.185000381469,1,response
trial,2023-09-06T19:17:47.841Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,4.0,ISIC_0030921,ISIC_0066328,ISIC_0066328,ISIC_0030921,1337.2860007629424,0,response
trial,2023-09-06T19:17:50.821Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,5.0,ISIC_4848047,ISIC_0033232,ISIC_4848047,ISIC_0033232,1467.9820007629387,1,response
trial,2023-09-06T19:17:55.390Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,6.0,ISIC_7618133,ISIC_0013867,ISIC_0013867,ISIC_7618133,3037.8790015258783,0,response
trial,2023-09-06T19:17:58.160Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,7.0,ISIC_0011305,ISIC_0015250,ISIC_0011305,ISIC_0015250,1258.8680007629446,1,response
trial,2023-09-06T19:18:01.210Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,8.0,ISIC_0026300,ISIC_3617159,ISIC_3617159,ISIC_0026300,1542.6330000000016,0,response
trial,2023-09-06T19:18:05.023Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,9.0,ISIC_0002026,ISIC_0024656,ISIC_0002026,ISIC_0024656,2306.491000381473,1,response
trial,2023-09-06T19:18:08.224Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,10.0,ISIC_5312584,ISIC_0031545,ISIC_5312584,ISIC_0031545,1691.408001144402,1,response
trial,2023-09-06T19:18:12.463Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,11.0,ISIC_4350093,ISIC_3094758,ISIC_4350093,ISIC_3094758,2730.922999999995,1,response
trial,2023-09-06T19:18:15.966Z,60fe2c4662ca0c1aa5e6016a,52,uniform,1.0,False,12.0,ISIC_8969883,ISIC_0068012,ISIC_8969883,ISIC_0068012,1985.580001144408,1,response
