sender,timestamp,pID,subject,condition,blockNo,practice,trialNo,img_left,img_right,winner,loser,duration,response,ended_on
trial,2023-08-21T17:39:31.095Z,,1,regular,1.0,False,1.0,ISIC_0026231,ISIC_2379024,ISIC_2379024,ISIC_0026231,7122.844999976158,0,response
trial,2023-08-21T17:39:39.135Z,,1,regular,1.0,False,2.0,ISIC_0014857,ISIC_3207651,ISIC_0014857,ISIC_3207651,6529.663000023844,1,response
trial,2023-08-21T17:39:43.637Z,,1,regular,1.0,False,3.0,ISIC_6526489,ISIC_9312264,ISIC_6526489,ISIC_9312264,2982.02700001192,1,response
trial,2023-08-21T17:39:52.519Z,,1,regular,1.0,False,4.0,ISIC_0011256,ISIC_1975042,ISIC_0011256,ISIC_1975042,7372.48200002384,1,response
trial,2023-08-21T17:39:56.324Z,,1,regular,1.0,False,5.0,ISIC_4640293,ISIC_7776719,ISIC_7776719,ISIC_4640293,2293.6120000119263,0,response
trial,2023-08-21T17:40:00.102Z,,1,regular,1.0,False,6.0,ISIC_0010023,ISIC_0030194,ISIC_0030194,ISIC_0010023,2264.4019999761513,0,response
trial,2023-08-21T17:40:03.774Z,,1,regular,1.0,False,7.0,ISIC_6004197,ISIC_0032718,ISIC_6004197,ISIC_0032718,2161.671999988074,1,response
trial,2023-08-21T17:40:08.323Z,,1,regular,1.0,False,8.0,ISIC_0054941,ISIC_1513720,ISIC_1513720,ISIC_0054941,3037.6179999761516,0,response
trial,2023-08-21T17:40:11.128Z,,1,regular,1.0,False,9.0,ISIC_3652884,ISIC_0033981,ISIC_3652884,ISIC_0033981,1299.753000023848,1,response
trial,2023-08-21T17:40:13.878Z,,1,regular,1.0,False,10.0,ISIC_7875088,ISIC_7961365,ISIC_7961365,ISIC_7875088,1244.4700000119192,0,response
trial,2023-08-21T17:40:18.990Z,,1,regular,1.0,False,11.0,ISIC_5207050,ISIC_0011763,ISIC_5207050,ISIC_0011763,3601.15200001192,1,response
trial,2023-08-21T17:40:25.078Z,,1,regular,1.0,False,12.0,ISIC_0071208,ISIC_2663597,ISIC_2663597,ISIC_0071208,4578.964999988079,0,response
trial,2023-08-21T17:40:28.941Z,,1,regular,1.0,False,13.0,ISIC_6017985,ISIC_1023339,ISIC_6017985,ISIC_1023339,2347.554999999993,1,response
trial,2023-08-21T17:40:31.745Z,,1,regular,1.0,False,14.0,ISIC_0065121,ISIC_0027265,ISIC_0027265,ISIC_0065121,1293.5140000119281,0,response
trial,2023-08-21T17:40:35.438Z,,1,regular,1.0,False,15.0,ISIC_0058909,ISIC_0064298,ISIC_0064298,ISIC_0058909,2181.6100000000006,0,response
trial,2023-08-21T17:40:38.792Z,,1,regular,1.0,False,16.0,ISIC_1814941,ISIC_2833213,ISIC_2833213,ISIC_1814941,1845.2779999880731,0,response
trial,2023-08-21T17:40:42.455Z,,1,regular,1.0,False,17.0,ISIC_2704046,ISIC_0026531,ISIC_2704046,ISIC_0026531,2150.818000011917,1,response
trial,2023-08-21T17:40:46.024Z,,1,regular,1.0,False,18.0,ISIC_2513933,ISIC_5223096,ISIC_5223096,ISIC_2513933,2062.841999976168,0,response
trial,2023-08-21T17:40:50.888Z,,1,regular,1.0,False,19.0,ISIC_0000413,ISIC_0064907,ISIC_0000413,ISIC_0064907,3353.850000000006,1,response
trial,2023-08-21T17:40:54.829Z,,1,regular,1.0,False,20.0,ISIC_9684318,ISIC_0004955,ISIC_0004955,ISIC_9684318,2417.693999976153,0,response
trial,2023-08-21T17:41:01.359Z,,1,regular,1.0,False,21.0,ISIC_0064557,ISIC_0062367,ISIC_0062367,ISIC_0064557,5023.319000011921,0,response
trial,2023-08-21T17:41:04.305Z,,1,regular,1.0,False,22.0,ISIC_0034094,ISIC_7582818,ISIC_7582818,ISIC_0034094,1441.2050000238523,0,response
trial,2023-08-21T17:41:08.031Z,,1,regular,1.0,False,23.0,ISIC_5607702,ISIC_0061829,ISIC_5607702,ISIC_0061829,2210.5649999880698,1,response
trial,2023-08-21T17:41:11.576Z,,1,regular,1.0,False,24.0,ISIC_0032420,ISIC_5926550,ISIC_5926550,ISIC_0032420,2032.140000011917,0,response
trial,2023-08-21T17:41:17.413Z,,1,regular,1.0,False,25.0,ISIC_1154109,ISIC_0000313,ISIC_0000313,ISIC_1154109,4328.8030000238505,0,response
trial,2023-08-21T17:41:20.487Z,,1,regular,1.0,False,26.0,ISIC_4653503,ISIC_9106966,ISIC_9106966,ISIC_4653503,1557.7759999761474,0,response
trial,2023-08-21T17:41:23.543Z,,1,regular,1.0,False,27.0,ISIC_0011369,ISIC_5679004,ISIC_5679004,ISIC_0011369,1541.5269999880693,0,response
trial,2023-08-21T17:41:26.443Z,,1,regular,1.0,False,28.0,ISIC_0034162,ISIC_6003500,ISIC_6003500,ISIC_0034162,1385.0560000238474,0,response
trial,2023-08-21T17:41:29.531Z,,1,regular,1.0,False,29.0,ISIC_0028616,ISIC_0887792,ISIC_0887792,ISIC_0028616,1584.3039999761681,0,response
trial,2023-08-21T17:41:35.598Z,,1,regular,1.0,False,30.0,ISIC_6293107,ISIC_0026692,ISIC_6293107,ISIC_0026692,4562.053000000014,1,response
