id,b_m,malignant,x_sym,y_sym,compact,ap_ratio,rms,coeff_1,coeff_2,coeff_3,mom1_1,mom2_1,mom3_1,mom4_1,mom1_2,mom2_2,mom3_2,mom4_2,mom1_3,mom2_3,mom3_3,mom4_3,pi_sym,pi_bor,pi_col
ISIC_0000000,benign,0,0.129,0.2277,0.6937,68.2967,46.344,0.319,0.318,0.318,145.875,46.486,105.233,67.039,145.794,46.379,103.679,69.295,145.682,46.313,102.174,73.892,-0.217892070199946,0.9322511562120044,-0.3948819853948267
ISIC_0000002,malignant,1,0.2265,0.2201,0.4582,39.6201,40.841,0.327,0.327,0.325,125.321,40.974,97.925,59.751,125.448,40.985,94.227,57.374,125.645,40.859,93.834,56.452,0.0601911313132596,0.6522987796648678,0.6198420380860269
ISIC_0000012,benign,0,0.2052,0.1376,0.6969,19.119,19.897,0.151,0.15,0.149,133.546,20.14,127.855,61.972,133.815,20.036,128.583,62.092,134.048,19.929,127.405,62.964,-0.869721192450462,0.1410206835346034,-0.843152880400445
ISIC_0000013,malignant,1,0.0678,0.0715,0.769,61.3234,46.031,0.288,0.288,0.288,159.979,46.146,96.755,55.706,159.919,46.045,103.24,58.676,159.895,45.973,101.426,60.91,-0.549967847584789,-0.1821605778790156,-0.670688699266158
ISIC_0000022,malignant,1,0.2017,0.2168,0.5823,56.2533,19.078,0.136,0.136,0.135,140.513,19.098,101.533,44.66,140.58,19.066,102.031,45.12,140.699,19.054,102.923,46.081,1.0700930503975157,1.2020012168275056,-0.923753102263735
ISIC_0000024,benign,0,0.2141,0.3318,0.4188,36.5989,26.157,0.18,0.18,0.18,145.35,26.1,97.255,34.063,145.378,26.118,95.282,34.124,145.407,26.146,91.812,37.016,0.57347744628232,0.1606458756812614,0.2660054625230707
ISIC_0000026,malignant,1,0.2595,0.2653,0.5392,38.5644,17.521,0.124,0.124,0.125,140.113,17.339,116.368,72.157,140.148,17.365,115.943,70.257,140.154,17.53,112.782,72.251,0.4708251571899258,0.6154995806613252,-0.2630153654417784
ISIC_0000029,malignant,1,0.5026,0.5364,0.1411,20.8089,46.119,0.287,0.286,0.285,161.654,46.317,86.447,37.096,161.594,46.17,86.114,37.775,161.594,46.036,87.775,39.374,-0.7094267227479807,0.2503250144967957,0.1213076915615352
ISIC_0000030,malignant,1,0.6602,0.6339,0.291,26.8097,42.657,0.335,0.332,0.33,128.618,43.04,91.312,43.912,128.83,42.834,93.361,46.007,129.051,42.603,97.162,48.178,0.6276002052596823,0.8628989580970786,0.7092745497229191
ISIC_0000031,malignant,1,0.7504,0.5466,0.4169,21.0112,44.247,0.348,0.346,0.344,127.911,44.488,86.071,31.15,128.173,44.376,88.551,31.868,128.536,44.206,88.847,32.624,0.9012199476521076,1.2716324714939369,0.4909930258301344
ISIC_0000035,malignant,1,0.1126,0.0959,0.5567,59.3336,41.142,0.299,0.299,0.299,137.275,41.09,87.108,52.204,137.374,41.04,86.532,52.98,137.45,41.139,89.889,54.117,0.363784354844004,-0.3571176069492273,0.915040290802866
ISIC_0000036,malignant,1,0.2371,0.2286,0.5955,36.2012,57.277,0.538,0.538,0.537,105.733,56.915,58.082,37.341,106.294,57.15,60.48,37.33,106.885,57.356,63.096,31.447,0.880277325324266,0.4383510771777599,0.3815778753306915
ISIC_0000040,malignant,1,0.2988,0.3694,0.5055,19.044,27.856,0.216,0.216,0.216,128.865,27.838,87.419,65.727,128.878,27.835,87.613,64.423,128.878,27.861,90.318,61.439,0.7345007788498752,0.1761687290982262,-0.0011146380915765
ISIC_0000042,benign,0,0.1148,0.1863,0.5399,45.9028,40.794,0.29,0.29,0.29,140.48,40.726,115.967,64.924,140.487,40.719,118.116,62.536,140.527,40.766,114.902,57.07,-0.2061285271266802,1.5664508176875045,0.5206741009027044
ISIC_0000043,malignant,1,0.1161,0.1265,0.5179,61.5831,48.814,0.317,0.318,0.317,153.766,48.813,105.035,49.07,153.907,48.93,106.51,49.715,154.234,48.877,101.563,52.059,-0.0818220318071619,-0.2807391816917156,0.277758482310981
