id,b_m,malignant,x_sym,y_sym,compact,ap_ratio,rms,coeff_1,coeff_2,coeff_3,mom1_1,mom2_1,mom3_1,mom4_1,mom1_2,mom2_2,mom3_2,mom4_2,mom1_3,mom2_3,mom3_3,mom4_3,pi_sym,pi_bor,pi_col
ISIC_0000000,benign,0,0.129,0.2277,0.6937,68.2967,46.344,0.319,0.318,0.318,145.875,46.486,105.233,67.039,145.794,46.379,103.679,69.295,145.682,46.313,102.174,73.892,-0.214499,0.902999,-0.39693
ISIC_0000002,malignant,1,0.2265,0.2201,0.4582,39.6201,40.841,0.327,0.327,0.325,125.321,40.974,97.925,59.751,125.448,40.985,94.227,57.374,125.645,40.859,93.834,56.452,0.068703,0.6729,0.615368
ISIC_0000012,benign,0,0.2052,0.1376,0.6969,19.119,19.897,0.151,0.15,0.149,133.546,20.14,127.855,61.972,133.815,20.036,128.583,62.092,134.048,19.929,127.405,62.964,-1.012303,0.143958,-0.541543
ISIC_0000013,malignant,1,0.0678,0.0715,0.769,61.3234,46.031,0.288,0.288,0.288,159.979,46.146,96.755,55.706,159.919,46.045,103.24,58.676,159.895,45.973,101.426,60.91,-0.561496,-0.208626,-0.539475
ISIC_0000022,malignant,1,0.2017,0.2168,0.5823,56.2533,19.078,0.136,0.136,0.135,140.513,19.098,101.533,44.66,140.58,19.066,102.031,45.12,140.699,19.054,102.923,46.081,1.068428,1.279798,-0.908246
ISIC_0000024,benign,0,0.2141,0.3318,0.4188,36.5989,26.157,0.18,0.18,0.18,145.35,26.1,97.255,34.063,145.378,26.118,95.282,34.124,145.407,26.146,91.812,37.016,0.843614,0.169498,0.254976
ISIC_0000026,malignant,1,0.2595,0.2653,0.5392,38.5644,17.521,0.124,0.124,0.125,140.113,17.339,116.368,72.157,140.148,17.365,115.943,70.257,140.154,17.53,112.782,72.251,0.469953,0.62355,-0.263572
ISIC_0000029,malignant,1,0.5026,0.5364,0.1411,20.8089,46.119,0.287,0.286,0.285,161.654,46.317,86.447,37.096,161.594,46.17,86.114,37.775,161.594,46.036,87.775,39.374,-0.709123,0.374528,0.211372
ISIC_0000030,malignant,1,0.6602,0.6339,0.291,26.8097,42.657,0.335,0.332,0.33,128.618,43.04,91.312,43.912,128.83,42.834,93.361,46.007,129.051,42.603,97.162,48.178,0.624333,0.864888,0.706426
ISIC_0000031,malignant,1,0.7504,0.5466,0.4169,21.0112,44.247,0.348,0.346,0.344,127.911,44.488,86.071,31.15,128.173,44.376,88.551,31.868,128.536,44.206,88.847,32.624,0.864705,1.335605,0.494126
