id,pi
ISIC_0071040,2.027801
ISIC_0046416,1.95615
ISIC_0031543,1.935121
ISIC_0066240,1.927636
ISIC_0031077,1.9235
ISIC_0011665,1.908734
ISIC_0073115,1.864149
ISIC_0010108,1.857946
ISIC_0015115,1.845265
ISIC_0056201,1.84049
ISIC_0014985,1.806015
ISIC_0046449,1.8055
ISIC_0059943,1.792218
ISIC_0010503,1.783469
ISIC_0072976,1.750487
ISIC_0023162,1.740296
ISIC_0059216,1.718917
ISIC_0061643,1.714358
ISIC_0034101,1.707161
ISIC_1348843,1.684434
ISIC_0032134,1.680649
ISIC_0057787,1.668642
ISIC_0064318,1.659609
ISIC_0058016,1.656574
ISIC_0067985,1.654215
ISIC_0059671,1.639365
ISIC_0032626,1.635851
ISIC_0059248,1.635752
ISIC_0057009,1.63347
ISIC_0026853,1.61803
ISIC_0033129,1.617096
ISIC_0053810,1.609787
ISIC_0071196,1.607281
ISIC_0011488,1.605152
ISIC_0056271,1.603365
ISIC_0027190,1.603166
ISIC_0065823,1.594426
ISIC_0062935,1.591769
ISIC_0011744,1.588213
ISIC_0055924,1.586287
ISIC_0009931,1.581884
ISIC_0062048,1.576328
ISIC_0060975,1.57447
ISIC_6157226,1.574288
ISIC_0056723,1.572348
ISIC_0015156,1.567461
ISIC_0000042,1.566436
ISIC_0055293,1.561388
ISIC_0063164,1.560865
ISIC_0025195,1.55714
ISIC_0060817,1.55712
ISIC_0066518,1.553358
ISIC_0060266,1.547239
ISIC_0011032,1.546114
ISIC_0014857,1.545213
ISIC_0032624,1.540385
ISIC_0059440,1.536613
ISIC_0011350,1.536538
ISIC_7462953,1.532667
ISIC_0011404,1.527916
ISIC_0064660,1.525481
ISIC_0059855,1.524562
ISIC_0000519,1.523808
ISIC_0010376,1.52269
ISIC_0011988,1.515531
ISIC_0061379,1.515151
ISIC_0011957,1.514812
ISIC_0033925,1.51395
ISIC_0027838,1.509821
ISIC_0064986,1.50039
ISIC_0069667,1.499853
ISIC_0032872,1.498972
ISIC_0033710,1.496441
ISIC_0011753,1.49449
ISIC_5239856,1.494179
ISIC_0010067,1.492861
ISIC_0071388,1.492135
ISIC_9125543,1.490448
ISIC_0000424,1.490139
ISIC_0060297,1.489525
ISIC_0063692,1.489264
ISIC_0072182,1.488188
ISIC_6517082,1.483912
ISIC_0060091,1.483451
ISIC_0071869,1.474098
ISIC_0011007,1.469509
ISIC_0073043,1.46745
ISIC_0065013,1.465819
