id,pi
ISIC_0069193,1.990495
ISIC_0066399,1.96467
ISIC_0029593,1.962098
ISIC_0032873,1.905783
ISIC_0027306,1.813744
ISIC_0011126,1.812255
ISIC_0014559,1.807717
ISIC_0069536,1.805345
ISIC_0046706,1.798918
ISIC_0070435,1.764613
ISIC_0072010,1.753629
ISIC_0010730,1.752214
ISIC_0055087,1.752013
ISIC_0066150,1.74512
ISIC_0055367,1.714302
ISIC_0060219,1.709194
ISIC_0014173,1.708557
ISIC_0069667,1.706862
ISIC_0046645,1.701931
ISIC_0022661,1.688649
ISIC_0070566,1.679436
ISIC_0024545,1.6788
ISIC_0060972,1.672786
ISIC_0000274,1.667986
ISIC_0056849,1.666094
ISIC_8575769,1.663921
ISIC_3481133,1.65941
ISIC_0032182,1.648583
ISIC_0068153,1.63652
ISIC_0065748,1.634092
ISIC_0011219,1.631662
ISIC_0032960,1.626186
ISIC_0070009,1.624646
ISIC_0025927,1.61777
ISIC_0067614,1.613585
ISIC_0033957,1.612775
ISIC_0024806,1.61041
ISIC_3305055,1.609886
ISIC_0010663,1.607511
ISIC_0032492,1.60226
ISIC_0073136,1.599694
ISIC_0068438,1.599185
ISIC_0062497,1.595957
ISIC_0071707,1.594674
ISIC_4187485,1.59392
ISIC_0066106,1.593333
ISIC_0063018,1.592281
ISIC_0061092,1.585999
ISIC_0054317,1.585729
ISIC_0072030,1.578132
ISIC_0063842,1.577162
ISIC_0054573,1.567245
ISIC_0072826,1.565137
ISIC_0010809,1.561336
ISIC_0024792,1.55485
ISIC_0066378,1.553891
ISIC_9141817,1.549198
ISIC_0027072,1.545274
ISIC_0030957,1.54415
ISIC_0059943,1.536831
ISIC_6577767,1.53568
ISIC_0072157,1.530743
ISIC_0028746,1.526479
ISIC_0053594,1.525673
ISIC_0069250,1.524651
ISIC_0028127,1.522951
ISIC_0010866,1.522295
ISIC_0069260,1.521783
ISIC_0034216,1.521074
ISIC_0000523,1.520097
ISIC_0060390,1.513907
ISIC_0032685,1.509709
ISIC_0070246,1.508552
ISIC_0031295,1.505014
ISIC_0061624,1.502853
ISIC_0054021,1.501799
ISIC_0027065,1.50138
ISIC_0072473,1.497725
ISIC_0029189,1.496384
ISIC_0057218,1.489427
ISIC_0033261,1.488494
ISIC_0069967,1.48734
ISIC_0059336,1.480926
ISIC_0063081,1.470922
ISIC_0023162,1.468352
ISIC_0001126,1.466169
ISIC_0028114,1.466122
ISIC_0064023,1.464199
ISIC_0070074,1.461955
ISIC_1939413,1.456599
ISIC_0070463,1.455369
ISIC_0033125,1.452212
ISIC_0032862,1.451016
ISIC_0054673,1.450163
ISIC_0033518,1.449678
ISIC_0059216,1.44963
ISIC_0081584,1.447865
ISIC_0011930,1.446062
ISIC_0061441,1.444058
ISIC_0060621,1.443663
ISIC_0057487,1.440755
ISIC_0034316,1.439951
ISIC_0013341,1.439358
ISIC_0012047,1.438913
ISIC_0010308,1.438482
ISIC_8691327,1.437826
ISIC_0056406,1.436518
ISIC_0024256,1.43493
ISIC_0065360,1.434889
ISIC_0065807,1.43367
ISIC_5323725,1.433195
ISIC_6088194,1.432237
ISIC_0000411,1.420177
ISIC_3673080,1.410837
ISIC_0000414,1.409002
ISIC_0011388,1.407288
ISIC_0026770,1.406058
ISIC_0941332,1.404404
ISIC_0064080,1.400872
ISIC_0056921,1.400579
ISIC_0056902,1.398738
ISIC_0026188,1.395849
ISIC_7967397,1.393316
ISIC_0055265,1.393282
ISIC_0016114,1.390689
ISIC_0001110,1.39068
ISIC_0033569,1.389089
ISIC_0059884,1.386813
ISIC_0069373,1.385659
ISIC_0028415,1.384197
ISIC_0073032,1.382358
ISIC_0024552,1.381993
ISIC_0011286,1.375968
ISIC_0028655,1.374403
ISIC_7579316,1.373894
