id,pi
ISIC_0069248,2.318137
ISIC_0010322,2.071727
ISIC_0031900,1.881795
ISIC_0032192,1.848459
ISIC_0011094,1.840821
ISIC_0032951,1.810616
ISIC_0000074,1.805385
ISIC_0072353,1.787188
ISIC_0067695,1.774245
ISIC_0059551,1.773034
ISIC_7104307,1.759541
ISIC_0010503,1.756034
ISIC_0011752,1.75598
ISIC_0009908,1.702674
ISIC_0061825,1.696425
ISIC_0011648,1.695562
ISIC_0054185,1.687945
ISIC_0068012,1.678161
ISIC_0001152,1.672491
ISIC_0025512,1.671665
ISIC_0062935,1.668736
ISIC_0027253,1.666827
ISIC_0030060,1.664702
ISIC_0070170,1.661464
ISIC_0054350,1.655352
ISIC_0071050,1.651824
ISIC_0011757,1.650295
ISIC_0032112,1.645289
ISIC_0031015,1.644803
ISIC_0069411,1.642967
ISIC_0072030,1.622979
ISIC_0011375,1.620053
ISIC_0071576,1.61902
ISIC_0046671,1.616672
ISIC_1814941,1.613094
ISIC_0010242,1.611196
ISIC_0010049,1.609031
ISIC_0062058,1.608165
ISIC_0061359,1.606257
ISIC_0034092,1.60569
ISIC_4958578,1.605582
ISIC_0072977,1.603796
ISIC_0060832,1.603031
ISIC_0065128,1.587085
ISIC_0053542,1.586748
ISIC_2975580,1.582835
ISIC_0069373,1.578435
ISIC_0053594,1.57512
ISIC_0071826,1.573558
ISIC_0010426,1.572244
ISIC_1247683,1.569875
ISIC_0014233,1.565974
ISIC_0055246,1.563483
ISIC_0011095,1.55875
ISIC_0067521,1.558366
ISIC_0011496,1.556526
ISIC_0031077,1.55523
ISIC_0010629,1.554194
ISIC_0070432,1.550253
ISIC_0060148,1.548956
ISIC_0046900,1.548938
ISIC_0010653,1.548453
ISIC_0010967,1.539081
ISIC_0024688,1.53751
ISIC_0010782,1.536733
ISIC_7942881,1.5355
ISIC_8153123,1.53498
ISIC_0061252,1.529872
ISIC_1200192,1.529798
ISIC_0030360,1.529552
ISIC_0054043,1.529363
ISIC_0064907,1.529326
ISIC_0012047,1.529015
ISIC_0063369,1.523294
ISIC_4408559,1.52168
ISIC_4022621,1.516829
ISIC_0067006,1.516805
ISIC_0033344,1.512674
ISIC_0029575,1.509841
ISIC_0411688,1.50579
ISIC_0011139,1.502794
ISIC_0070566,1.50266
ISIC_0010754,1.501984
ISIC_0072422,1.500035
ISIC_0046526,1.496157
ISIC_0032149,1.494532
ISIC_0070308,1.492498
ISIC_0781380,1.487288
ISIC_0067120,1.487107
ISIC_0058138,1.482817
ISIC_0000414,1.481187
ISIC_0011505,1.479959
ISIC_0059411,1.477764
ISIC_0000150,1.476037
ISIC_0034263,1.473446
ISIC_0000484,1.470274
ISIC_0053540,1.467312
ISIC_5897134,1.467223
ISIC_0032736,1.466619
ISIC_0024427,1.466245
ISIC_8702237,1.45575
ISIC_0024980,1.455613
ISIC_5353986,1.454885
ISIC_0011039,1.451844
ISIC_0024999,1.45044
ISIC_0046773,1.450402
ISIC_0011665,1.44993
ISIC_0024702,1.448398
ISIC_0011268,1.447666
ISIC_0061531,1.447011
ISIC_1948545,1.446717
ISIC_0032872,1.444444
ISIC_0057487,1.443751
ISIC_2309744,1.443277
ISIC_0055714,1.439461
ISIC_0024227,1.439372
ISIC_9471156,1.439343
ISIC_0030929,1.438
ISIC_0011534,1.437256
ISIC_1384527,1.431361
ISIC_0054480,1.42976
ISIC_0062160,1.429589
ISIC_0032630,1.429423
ISIC_0056740,1.42919
ISIC_3069695,1.427327
ISIC_0032671,1.42625
ISIC_0028567,1.423853
ISIC_0031146,1.42313
ISIC_0058022,1.42092
ISIC_7254359,1.420442
ISIC_0056723,1.417643
ISIC_0032823,1.413595
ISIC_0032892,1.412471
ISIC_6125652,1.41122
ISIC_0011364,1.410535
ISIC_0070588,1.409083
ISIC_0000452,1.407243
ISIC_0064761,1.407012
ISIC_1818238,1.406901
ISIC_0026963,1.405426
ISIC_0058164,1.403577
ISIC_1558504,1.403519
ISIC_0000518,1.398528
ISIC_3401631,1.396618
ISIC_0061379,1.396076
ISIC_0000164,1.394166
ISIC_0000547,1.39416
ISIC_0033479,1.391953
ISIC_0011349,1.391817
ISIC_0014108,1.391496
ISIC_0071208,1.38907
ISIC_0060817,1.388839
ISIC_8325569,1.388373
ISIC_0059435,1.387793
ISIC_5714285,1.38715
ISIC_0072175,1.387139
ISIC_0062318,1.386146
ISIC_0000487,1.385695
ISIC_0072730,1.382668
ISIC_0068616,1.382264
ISIC_0001118,1.382185
ISIC_0708552,1.381538
ISIC_0033129,1.380352
ISIC_4293419,1.377201
ISIC_0014766,1.376493
ISIC_0015256,1.375764
ISIC_0053469,1.375715
ISIC_0034140,1.375099
ISIC_0011495,1.372132
ISIC_0071040,1.370867
ISIC_0011747,1.370626
ISIC_5602826,1.370142
ISIC_0028773,1.369965
ISIC_0067235,1.369467
ISIC_0013740,1.369225
ISIC_0061624,1.369157
ISIC_0068477,1.367479
ISIC_0061566,1.366796
ISIC_0033710,1.366518
ISIC_0011691,1.366418
ISIC_0024732,1.365496
ISIC_6446753,1.364673
ISIC_5240387,1.36405
ISIC_0015969,1.361839
ISIC_3610783,1.361747
ISIC_9797578,1.361646
ISIC_9458746,1.360471
ISIC_2310935,1.359594
ISIC_6595186,1.355857
ISIC_6961503,1.355707
ISIC_6974830,1.354139
ISIC_7045042,1.353738
ISIC_6356803,1.353438
ISIC_0010965,1.352965
ISIC_0011378,1.349526
ISIC_0031972,1.349373
ISIC_0028220,1.349023
ISIC_0010630,1.347355
ISIC_0024546,1.346678
ISIC_5777181,1.343638
ISIC_0034208,1.34356
ISIC_0033678,1.34031
ISIC_0010142,1.339458
ISIC_6915759,1.339402
ISIC_0034180,1.332166
ISIC_0064376,1.331444
ISIC_5848892,1.331316
ISIC_0070747,1.331182
ISIC_0000420,1.328875
ISIC_0065181,1.328259
ISIC_7670149,1.325288
ISIC_0011772,1.324249
ISIC_0010746,1.323021
ISIC_0030798,1.322153
ISIC_0064066,1.322133
ISIC_0001157,1.32031
ISIC_0066935,1.320269
ISIC_9482251,1.319983
ISIC_0025500,1.319913
ISIC_0065525,1.319068
ISIC_0060266,1.318148
ISIC_0033392,1.317576
ISIC_0032987,1.316989
ISIC_0071988,1.31581
ISIC_0072601,1.315653
ISIC_0027187,1.315165
ISIC_0033419,1.313965
ISIC_2268341,1.313471
ISIC_0024265,1.312289
ISIC_0029825,1.310771
ISIC_0011633,1.310534
ISIC_6176182,1.309886
ISIC_0004075,1.308926
ISIC_0033332,1.308725
ISIC_0073238,1.306395
ISIC_0014183,1.305621
ISIC_3635014,1.304781
ISIC_0061371,1.303119
ISIC_0502582,1.302705
ISIC_0054317,1.299571
ISIC_6323420,1.299113
ISIC_0068107,1.29731
ISIC_0064279,1.297126
ISIC_0029591,1.296822
ISIC_9509757,1.295777
ISIC_0063164,1.295563
ISIC_0061516,1.295285
ISIC_5714411,1.29437
ISIC_3673080,1.293957
ISIC_0030006,1.29387
ISIC_0033429,1.293577
ISIC_0009931,1.288754
ISIC_0062471,1.28827
ISIC_0034134,1.286376
ISIC_0046394,1.284811
ISIC_0023162,1.282403
ISIC_0010227,1.282376
ISIC_0000520,1.282129
ISIC_4659355,1.28166
ISIC_0011158,1.28138
ISIC_0010007,1.28133
ISIC_0024929,1.28128
ISIC_4363398,1.280933
ISIC_0066674,1.280418
ISIC_5823292,1.279874
ISIC_0000278,1.279393
ISIC_0066399,1.278905
ISIC_0011696,1.278285
ISIC_0024806,1.278199
ISIC_0000161,1.277776
ISIC_2200197,1.276107
ISIC_0070210,1.276039
ISIC_9024529,1.275452
ISIC_0011500,1.274088
ISIC_1955991,1.273337
ISIC_0011007,1.271838
ISIC_6377613,1.270789
ISIC_1939413,1.270525
ISIC_0066564,1.267822
ISIC_0012057,1.267386
ISIC_0054528,1.266722
ISIC_6710411,1.266237
ISIC_0026360,1.26536
ISIC_0025683,1.265153
ISIC_0057016,1.265055
ISIC_0065748,1.2641
ISIC_0061870,1.263696
ISIC_0033325,1.263033
ISIC_0034068,1.262672
ISIC_4411889,1.262289
ISIC_0060629,1.262226
ISIC_9155465,1.261858
ISIC_0016085,1.260882
ISIC_1367610,1.260876
ISIC_3996796,1.259612
ISIC_7096389,1.259501
ISIC_0013073,1.259362
ISIC_0065746,1.257997
ISIC_0057617,1.257634
ISIC_0026746,1.256446
ISIC_4734111,1.256065
ISIC_0064240,1.255821
ISIC_0024652,1.255683
ISIC_0065774,1.25331
ISIC_0024900,1.251738
ISIC_0053674,1.251011
ISIC_0010208,1.249628
ISIC_0061829,1.249382
ISIC_0060972,1.248969
ISIC_1264576,1.248644
ISIC_0055474,1.248566
ISIC_0056119,1.24853
ISIC_0014912,1.24772
ISIC_6577767,1.246852
ISIC_0061475,1.246463
ISIC_7935462,1.246136
ISIC_9059311,1.245858
ISIC_0011509,1.245562
ISIC_0070092,1.244943
ISIC_0026087,1.242133
ISIC_0031368,1.241401
ISIC_0057192,1.240627
ISIC_0011917,1.240581
ISIC_0032840,1.24055
ISIC_0068798,1.240422
ISIC_7242312,1.239635
ISIC_0033595,1.238284
ISIC_0070435,1.237797
ISIC_0068166,1.235466
ISIC_0054167,1.235237
ISIC_0030889,1.235059
ISIC_0001121,1.233083
ISIC_0009924,1.231559
ISIC_0073173,1.231541
ISIC_0072393,1.231153
ISIC_0069967,1.230485
ISIC_2563948,1.230168
ISIC_3475660,1.230025
ISIC_0011697,1.229209
ISIC_0015156,1.228648
ISIC_0054936,1.22725
ISIC_0029318,1.227236
ISIC_0053541,1.22596
ISIC_0027622,1.225222
ISIC_0027407,1.225076
ISIC_0026595,1.22309
ISIC_0054329,1.22181
ISIC_9141817,1.221784
ISIC_0010690,1.22032
ISIC_0032861,1.219276
ISIC_4118762,1.218491
ISIC_0029898,1.218007
ISIC_5634573,1.217912
ISIC_0024739,1.21783
ISIC_5666345,1.217118
ISIC_0025305,1.216194
ISIC_0072496,1.215815
ISIC_8935085,1.215294
ISIC_0055251,1.214944
ISIC_0046659,1.214708
ISIC_0013334,1.21421
ISIC_0011686,1.214071
ISIC_7489564,1.214011
ISIC_3791309,1.213529
ISIC_7016261,1.211695
ISIC_0068106,1.210979
ISIC_0029120,1.209519
ISIC_2987613,1.209279
ISIC_5614300,1.208506
ISIC_0053763,1.207912
ISIC_0013861,1.207829
ISIC_0067601,1.207207
ISIC_0060946,1.207124
ISIC_6899527,1.207099
ISIC_0032988,1.206341
ISIC_0058158,1.206285
ISIC_0011086,1.205726
ISIC_0024679,1.204842
ISIC_0072021,1.203306
ISIC_9571842,1.199932
ISIC_7110531,1.198951
ISIC_0032858,1.19891
ISIC_3067522,1.198493
ISIC_0056156,1.197048
ISIC_0033369,1.196696
ISIC_4347535,1.196162
ISIC_0072004,1.195487
ISIC_0011703,1.195484
ISIC_1566428,1.193856
ISIC_0025277,1.193676
ISIC_0046618,1.193181
ISIC_0031203,1.188775
ISIC_0014548,1.188367
ISIC_5282642,1.188152
ISIC_0064589,1.187806
ISIC_0066678,1.187772
ISIC_2124148,1.186738
ISIC_0060955,1.186645
ISIC_0061441,1.18631
ISIC_0010644,1.185936
ISIC_0000167,1.185107
ISIC_8241457,1.18496
ISIC_0034076,1.184875
ISIC_8362891,1.184115
ISIC_0072568,1.183097
ISIC_0030353,1.182561
ISIC_2447578,1.181863
ISIC_0032544,1.181369
ISIC_0058174,1.180336
ISIC_0054334,1.17986
ISIC_0033813,1.179218
ISIC_0033893,1.177607
ISIC_0030663,1.176803
ISIC_0011694,1.176369
ISIC_0011957,1.175447
ISIC_2819721,1.175436
ISIC_6855540,1.175126
ISIC_8052769,1.174424
ISIC_0011958,1.1742
ISIC_0026694,1.17393
ISIC_0067511,1.173417
ISIC_0061936,1.172606
