sender,timestamp,pID,condition,blockNo,practice,trialNo,img_left,img_right,winner,loser,duration,response,ended_on,subject
trial,2023-05-03T20:09:05.720Z,65229,irregular,1.0,False,1.0,ISIC_0030725,ISIC_0013845,ISIC_0013845,ISIC_0030725,7103.893999952328,1,response,1
trial,2023-05-03T20:09:09.395Z,65229,irregular,1.0,False,2.0,ISIC_4219589,ISIC_0062048,ISIC_0062048,ISIC_4219589,2161.8609999523032,1,response,1
trial,2023-05-03T20:09:13.367Z,65229,irregular,1.0,False,3.0,ISIC_5272345,ISIC_8956001,ISIC_5272345,ISIC_8956001,2467.929999904649,0,response,1
trial,2023-05-03T20:09:19.204Z,65229,irregular,1.0,False,4.0,ISIC_6090057,ISIC_0012678,ISIC_0012678,ISIC_6090057,4321.646999856923,1,response,1
trial,2023-05-03T20:09:24.893Z,65229,irregular,1.0,False,5.0,ISIC_0071135,ISIC_0065013,ISIC_0065013,ISIC_0071135,4177.273000047659,1,response,1
trial,2023-05-03T20:09:31.182Z,65229,irregular,1.0,False,6.0,ISIC_0062869,ISIC_9667908,ISIC_0062869,ISIC_9667908,4782.560999952315,0,response,1
trial,2023-05-03T20:09:36.177Z,65229,irregular,1.0,False,7.0,ISIC_1166678,ISIC_0008774,ISIC_0008774,ISIC_1166678,3477.1189998569316,1,response,1
trial,2023-05-03T20:09:39.600Z,65229,irregular,1.0,False,8.0,ISIC_4642695,ISIC_2074764,ISIC_4642695,ISIC_2074764,1899.7400000476628,0,response,1
trial,2023-05-03T20:09:45.203Z,65229,irregular,1.0,False,9.0,ISIC_0000398,ISIC_4099058,ISIC_0000398,ISIC_4099058,4086.2199999523,0,response,1
trial,2023-05-03T20:09:53.758Z,65229,irregular,1.0,False,10.0,ISIC_0005006,ISIC_0068447,ISIC_0068447,ISIC_0005006,7041.386999856972,1,response,1
trial,2023-05-03T20:09:58.571Z,65229,irregular,1.0,False,11.0,ISIC_5336007,ISIC_7266604,ISIC_7266604,ISIC_5336007,3304.695000047679,1,response,1
trial,2023-05-03T20:10:02.367Z,65229,irregular,1.0,False,12.0,ISIC_4264600,ISIC_0645834,ISIC_0645834,ISIC_4264600,2283.541999952344,1,response,1
trial,2023-05-03T20:10:06.345Z,65229,irregular,1.0,False,13.0,ISIC_0058132,ISIC_0033193,ISIC_0033193,ISIC_0058132,2462.257999999973,1,response,1
trial,2023-05-03T20:10:10.331Z,65229,irregular,1.0,False,14.0,ISIC_3885808,ISIC_3098750,ISIC_3885808,ISIC_3098750,2480.391999856976,0,response,1
trial,2023-05-03T20:10:13.964Z,65229,irregular,1.0,False,15.0,ISIC_6640753,ISIC_0034209,ISIC_0034209,ISIC_6640753,2130.377000047709,1,response,1
trial,2023-05-03T20:10:19.993Z,65229,irregular,1.0,False,16.0,ISIC_7330564,ISIC_1668831,ISIC_1668831,ISIC_7330564,4526.210999952338,1,response,1
trial,2023-05-03T20:10:22.786Z,65229,irregular,1.0,False,17.0,ISIC_0033268,ISIC_9622250,ISIC_0033268,ISIC_9622250,1285.8559999522986,0,response,1
trial,2023-05-03T20:10:28.072Z,65229,irregular,1.0,False,18.0,ISIC_0046351,ISIC_3430311,ISIC_3430311,ISIC_0046351,3771.478000000003,1,response,1
trial,2023-05-03T20:10:31.429Z,65229,irregular,1.0,False,19.0,ISIC_9848743,ISIC_0013084,ISIC_9848743,ISIC_0013084,1845.152000047674,0,response,1
trial,2023-05-03T20:10:34.934Z,65229,irregular,1.0,False,20.0,ISIC_0177304,ISIC_2147549,ISIC_2147549,ISIC_0177304,1999.789999904635,1,response,1
trial,2023-05-03T20:10:40.250Z,65229,irregular,1.0,False,21.0,ISIC_6780662,ISIC_0026685,ISIC_6780662,ISIC_0026685,3800.844999999972,0,response,1
trial,2023-05-03T20:10:43.493Z,65229,irregular,1.0,False,22.0,ISIC_7492530,ISIC_7409889,ISIC_7409889,ISIC_7492530,1726.2540000476874,1,response,1
trial,2023-05-03T20:10:47.072Z,65229,irregular,1.0,False,23.0,ISIC_9513808,ISIC_0031517,ISIC_0031517,ISIC_9513808,2072.550999904633,1,response,1
trial,2023-05-03T20:10:50.317Z,65229,irregular,1.0,False,24.0,ISIC_0016131,ISIC_0081584,ISIC_0081584,ISIC_0016131,1733.6080000476795,1,response,1
trial,2023-05-03T20:10:54.833Z,65229,irregular,1.0,False,25.0,ISIC_0010304,ISIC_1217314,ISIC_1217314,ISIC_0010304,2999.9469998569693,1,response,1
trial,2023-05-03T20:10:58.016Z,65229,irregular,1.0,False,26.0,ISIC_8497457,ISIC_0056546,ISIC_0056546,ISIC_8497457,1666.4569999046507,1,response,1
trial,2023-05-03T20:11:01.804Z,65229,irregular,1.0,False,27.0,ISIC_0653706,ISIC_0010546,ISIC_0010546,ISIC_0653706,2270.531999904604,1,response,1
trial,2023-05-03T20:11:05.453Z,65229,irregular,1.0,False,28.0,ISIC_9588279,ISIC_0072507,ISIC_9588279,ISIC_0072507,2137.04699995229,0,response,1
trial,2023-05-03T20:11:08.233Z,65229,irregular,1.0,False,29.0,ISIC_0239178,ISIC_0024846,ISIC_0024846,ISIC_0239178,1266.4459999523242,1,response,1
trial,2023-05-03T20:11:11.457Z,65229,irregular,1.0,False,30.0,ISIC_0062031,ISIC_8359258,ISIC_0062031,ISIC_8359258,1707.2260000000242,0,response,1
trial,2023-05-03T20:11:15.817Z,65229,irregular,1.0,False,31.0,ISIC_5287748,ISIC_6778515,ISIC_5287748,ISIC_6778515,2851.0699999046046,0,response,1
trial,2023-05-03T20:11:19.379Z,65229,irregular,1.0,False,32.0,ISIC_2394181,ISIC_4518384,ISIC_2394181,ISIC_4518384,2045.500000047672,0,response,1
trial,2023-05-03T20:11:22.836Z,65229,irregular,1.0,False,33.0,ISIC_8007849,ISIC_5282642,ISIC_8007849,ISIC_5282642,1952.9380000000242,0,response,1
trial,2023-05-03T20:11:26.237Z,65229,irregular,1.0,False,34.0,ISIC_3897960,ISIC_9008026,ISIC_3897960,ISIC_9008026,1887.7309998569544,0,response,1
trial,2023-05-03T20:11:29.505Z,65229,irregular,1.0,False,35.0,ISIC_0059294,ISIC_0071180,ISIC_0071180,ISIC_0059294,1754.9009999046102,1,response,1
trial,2023-05-03T20:11:33.006Z,65229,irregular,1.0,False,36.0,ISIC_0959863,ISIC_9433473,ISIC_9433473,ISIC_0959863,1989.6500000000237,1,response,1
trial,2023-05-03T20:11:36.135Z,65229,irregular,1.0,False,37.0,ISIC_4033676,ISIC_6440229,ISIC_4033676,ISIC_6440229,1618.186999904632,0,response,1
trial,2023-05-03T20:11:41.069Z,65229,irregular,1.0,False,38.0,ISIC_0057286,ISIC_0033678,ISIC_0057286,ISIC_0033678,3419.091999952332,0,response,1
trial,2023-05-03T20:11:45.260Z,65229,irregular,1.0,False,39.0,ISIC_0072001,ISIC_0010729,ISIC_0072001,ISIC_0010729,2660.1759999046335,0,response,1
trial,2023-05-03T20:11:51.136Z,65229,irregular,1.0,False,40.0,ISIC_9096302,ISIC_9169586,ISIC_9169586,ISIC_9096302,4368.758000047703,1,response,1
trial,2023-05-03T20:11:55.075Z,65229,irregular,1.0,False,41.0,ISIC_0010023,ISIC_0010965,ISIC_0010023,ISIC_0010965,2425.131999856967,0,response,1
trial,2023-05-03T20:11:58.577Z,65229,irregular,1.0,False,42.0,ISIC_8910589,ISIC_0061336,ISIC_0061336,ISIC_8910589,1993.5010000476614,1,response,1
trial,2023-05-03T20:12:02.054Z,65229,irregular,1.0,False,43.0,ISIC_0065313,ISIC_1327515,ISIC_0065313,ISIC_1327515,1970.070000047679,0,response,1
trial,2023-05-03T20:12:04.722Z,65229,irregular,1.0,False,44.0,ISIC_9130157,ISIC_0061183,ISIC_0061183,ISIC_9130157,1154.9579999999842,1,response,1
trial,2023-05-03T20:12:08.024Z,65229,irregular,1.0,False,45.0,ISIC_6694724,ISIC_0024586,ISIC_6694724,ISIC_0024586,1790.4629999046447,0,response,1
trial,2023-05-03T20:12:10.921Z,65229,irregular,1.0,False,46.0,ISIC_3389695,ISIC_0030833,ISIC_0030833,ISIC_3389695,1387.536999952339,1,response,1
trial,2023-05-03T20:12:14.241Z,65229,irregular,1.0,False,47.0,ISIC_0009993,ISIC_7759913,ISIC_0009993,ISIC_7759913,1806.9129999046563,0,response,1
trial,2023-05-03T20:12:17.938Z,65229,irregular,1.0,False,48.0,ISIC_1306790,ISIC_0033204,ISIC_0033204,ISIC_1306790,2188.0459998569568,1,response,1
trial,2023-05-03T20:12:20.843Z,65229,irregular,1.0,False,49.0,ISIC_3819893,ISIC_0056330,ISIC_0056330,ISIC_3819893,1392.164999904635,1,response,1
trial,2023-05-03T20:12:24.099Z,65229,irregular,1.0,False,50.0,ISIC_0032052,ISIC_0026244,ISIC_0026244,ISIC_0032052,1748.4809998569544,1,response,1
trial,2023-05-03T20:12:33.411Z,65229,irregular,2.0,False,1.0,ISIC_9547089,ISIC_3513367,ISIC_3513367,ISIC_9547089,1926.8659999046358,1,response,1
trial,2023-05-03T20:12:36.503Z,65229,irregular,2.0,False,2.0,ISIC_0026272,ISIC_0000046,ISIC_0026272,ISIC_0000046,1585.7669998569763,0,response,1
