sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-09-11T17:43:49.646Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://run.pavlovia.org/MurrayBennett/melanoma-2afc/?participant=67298&platform=sona"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":767,""window_innerWidth"":1440,""window_innerHeight"":815,""devicePixelRatio"":2}",,,,14106.237999997764,response,,,,,,consent,click button,,16240.599999997765,16237.099999997765,1964.202,2129.699999999255,2130.862,16248.288,,,,"{""participant"":""67298"",""platform"":""sona""}",
Welcome,html.Screen,1,2023-09-11T17:44:42.446Z,,,,irregular,52790.512000000745,response,,,,,,continue,click button,,69040.89999999851,69038.80000000075,16231.622,16241,16248.288,69047.121,,,,,
trial,html.Screen,2_0_0,2023-09-11T17:44:51.765Z,,0,0,,9312.478999997766,response,ISIC_4679428.JPG,,ISIC_0061792.JPG,ISIC_4679428.JPG,true,1,keypress(m),500,78360.30000000075,78359.59999999776,69030.455,69041.19999999925,69047.121,78366.797,1,6,1,,ISIC_0061792.JPG
sequence,flow.Sequence,2_0,2023-09-11T17:44:51.766Z,,0,,,9312.478999997766,completion,,,,,true,,,,78360.80000000075,78359.59999999776,69030.455,69041.19999999925,69047.121,78366.797,1,6,,,
trial,html.Screen,2_1_0,2023-09-11T17:45:00.587Z,,0,0,,8814.802999997759,response,ISIC_5199497.JPG,,ISIC_0776486.JPG,ISIC_0776486.JPG,true,0,keypress(z),500,87181.89999999851,87181.59999999776,78350.131,78361.09999999776,78366.797,87183.842,1,6,2,,ISIC_5199497.JPG
sequence,flow.Sequence,2_1,2023-09-11T17:45:00.587Z,,0,,,8814.802999997759,completion,,,,,true,,,,87182.39999999851,87181.59999999776,78350.131,78360.89999999851,78366.797,87183.842,1,6,,,
trial,html.Screen,2_2_0,2023-09-11T17:45:06.369Z,,0,0,,5779.857999999251,response,ISIC_2556187.JPG,,ISIC_8575776.JPG,ISIC_8575776.JPG,true,0,keypress(z),500,92964.19999999925,92963.69999999925,87167.176,87182.59999999776,87183.842,92967.764,1,6,3,,ISIC_2556187.JPG
sequence,flow.Sequence,2_2,2023-09-11T17:45:06.370Z,,0,,,5779.857999999251,completion,,,,,true,,,,92964.69999999925,92963.69999999925,87167.176,87182.5,87183.842,92967.764,1,6,,,
trial,html.Screen,2_3_0,2023-09-11T17:45:12.336Z,,0,0,,5962.835999997769,response,ISIC_8141769.JPG,,ISIC_9238366.JPG,ISIC_8141769.JPG,true,1,keypress(m),500,98931.09999999776,98930.59999999776,92951.098,92965,92967.764,98934.192,1,6,4,,ISIC_9238366.JPG
sequence,flow.Sequence,2_3,2023-09-11T17:45:12.337Z,,0,,,5962.835999997769,completion,,,,,true,,,,98931.59999999776,98930.59999999776,92951.098,92964.89999999851,92967.764,98934.192,1,6,,,
