sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-08-25T21:22:25.098Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-AU"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1536,""screen_height"":864,""scroll_width"":1056,""scroll_height"":626,""window_innerWidth"":1056,""window_innerHeight"":674,""devicePixelRatio"":1.25}",,,,2663.243999976158,response,,,,,,consent,click button,,3674.7999999523163,3673.399999976158,993.541,1100.6000000238419,1010.156,3592.575,,,,{},
Welcome,html.Screen,1,2023-08-25T21:22:30.137Z,,,,regular,5120.324999976158,response,,,,,,continue,click button,,8714.199999928474,8712.899999976158,3575.605,3675.100000023842,3592.575,8618.774,,,,,
trial,html.Screen,2_0_0,2023-08-25T21:22:35.938Z,,0,0,,5895.326000023842,response,ISIC_0061792.JPG,,ISIC_4679428.JPG,ISIC_4679428.JPG,true,0,keypress(z),500,14514.5,14514.100000023842,8602.177,8714.5,8618.774,14419.087,1,6,1,,ISIC_0061792.JPG
sequence,flow.Sequence,2_0,2023-08-25T21:22:35.938Z,,0,,,5895.326000023842,completion,,,,,true,,,,14514.600000023842,14514.100000023842,8602.177,8714.399999976158,8618.774,14419.087,1,6,,,
trial,html.Screen,2_1_0,2023-08-25T21:22:39.283Z,,0,0,,3440.5130000238423,response,ISIC_0776486.JPG,,ISIC_5199497.JPG,ISIC_0776486.JPG,true,1,keypress(m),500,17859.799999952316,17859.600000023842,14416.148,14514.699999928474,14419.087,17773.272,1,6,2,,ISIC_5199497.JPG
sequence,flow.Sequence,2_1,2023-08-25T21:22:39.283Z,,0,,,3440.5130000238423,completion,,,,,true,,,,17860.100000023842,17859.600000023842,14416.148,14514.699999928474,14419.087,17773.272,1,6,,,
trial,html.Screen,2_2_0,2023-08-25T21:22:43.402Z,,0,0,,4205.627999976157,response,ISIC_2556187.JPG,,ISIC_8575776.JPG,ISIC_8575776.JPG,true,0,keypress(z),500,21979.199999928474,21978.899999976158,17759.105,17860.299999952316,17773.272,21888.589,1,6,3,,ISIC_2556187.JPG
sequence,flow.Sequence,2_2,2023-08-25T21:22:43.403Z,,0,,,4205.627999976157,completion,,,,,true,,,,21979.699999928474,21978.899999976158,17759.105,17860.299999952316,17773.272,21888.589,1,6,,,
trial,html.Screen,2_3_0,2023-08-25T21:22:46.637Z,,0,0,,3325.411,response,ISIC_8141769.JPG,,ISIC_9238366.JPG,ISIC_8141769.JPG,true,1,keypress(m),500,25214.199999928474,25214,21881.825,21980.100000023842,21888.589,25119.465,1,6,4,,ISIC_9238366.JPG
sequence,flow.Sequence,2_3,2023-08-25T21:22:46.638Z,,0,,,3325.411,completion,,,,,true,,,,25214.600000023842,25214,21881.825,21980,21888.589,25119.465,1,6,,,
trial,html.Screen,2_4_0,2023-08-25T21:22:49.696Z,,0,0,,3153.334999952316,response,ISIC_8949026.JPG,,ISIC_9959593.JPG,ISIC_9959593.JPG,true,0,keypress(z),500,28272.899999976158,28272.799999952316,25109.588,25214.799999952316,25119.465,28177.275,1,6,5,,ISIC_8949026.JPG
sequence,flow.Sequence,2_4,2023-08-25T21:22:49.696Z,,0,,,3153.334999952316,completion,,,,,true,,,,28273.100000023842,28272.799999952316,25109.588,25214.699999928474,25119.465,28177.275,1,6,,,
trial,html.Screen,2_5_0,2023-08-25T21:22:55.541Z,,0,0,,5940.024999952315,response,ISIC_0010479.JPG,,ISIC_0460240.JPG,ISIC_0010479.JPG,true,1,keypress(m),500,34117.60000002384,34117.299999952316,28167.894,28273.100000023842,28177.275,34037.129,1,6,6,,ISIC_0460240.JPG
sequence,flow.Sequence,2_5,2023-08-25T21:22:55.541Z,,0,,,5940.024999952315,completion,,,,,true,,,,34118,34117.299999952316,28167.894,28273.100000023842,28177.275,34037.129,1,6,,,
loop,flow.Loop,2,2023-08-25T21:22:55.541Z,,,,,25498.52599995232,completion,,,,,true,,,,34118.199999928474,34117.299999952316,8602.177,8714.399999976158,8618.774,34037.129,1,6,,,
exp_instructions,html.Screen,3,2023-08-25T21:22:57.088Z,,,,,1626.2709999761573,response,,,,,,continue,keypress(Space),,35664.299999952316,35663.39999997616,34020.162,34118.199999928474,34037.129,35585.98,,,,,
trial,html.Screen,4_0_0,2023-08-25T21:23:05.156Z,,0,1,,8146.819999952313,response,ISIC_0010803.JPG,,ISIC_0033071.JPG,ISIC_0033071.JPG,false,0,keypress(z),500,43733,43732.799999952316,35552.548,35664.60000002384,35585.98,43637.315,8,400,1,,ISIC_0010803.JPG
break,html.Screen,4_0_1,2023-08-25T21:23:05.157Z,,0,,,NaN,,,,,,false,,,,43733.699999928474,43733.5,,43733.10000002384,,43637.315,8,400,,,
break_continue,html.Screen,4_0_2,2023-08-25T21:23:05.157Z,,0,,,NaN,,,,,,false,,,,43733.89999997616,43733.799999952316,,43733.699999928474,,43637.315,8,400,,,
sequence,flow.Sequence,4_0,2023-08-25T21:23:05.157Z,,0,,,8147.819999952313,completion,,,,,false,,,,43733.89999997616,43733.799999952316,35552.548,35664.60000002384,35585.98,43637.315,8,400,,,
trial,html.Screen,4_1_0,2023-08-25T21:23:13.116Z,,0,1,,8054.7850000238395,response,ISIC_3389704.JPG,,ISIC_0025603.JPG,ISIC_3389704.JPG,false,1,keypress(m),500,51692.39999997616,51692.10000002384,43627.688,43734,43637.315,51597.238,8,400,2,,ISIC_0025603.JPG
break,html.Screen,4_1_1,2023-08-25T21:23:13.117Z,,0,,,NaN,,,,,,false,,,,51693.5,51693.199999928474,,51692.60000002384,,51597.238,8,400,,,
break_continue,html.Screen,4_1_2,2023-08-25T21:23:13.117Z,,0,,,NaN,,,,,,false,,,,51694,51693.89999997616,,51693.60000002384,,51597.238,8,400,,,
sequence,flow.Sequence,4_1,2023-08-25T21:23:13.117Z,,0,,,8056.584999976156,completion,,,,,false,,,,51694.199999928474,51693.89999997616,43627.688,43733.89999997616,43637.315,51597.238,8,400,,,
trial,html.Screen,4_2_0,2023-08-25T21:23:17.266Z,,0,1,,4245.061999952319,response,ISIC_0070351.JPG,,ISIC_0059547.JPG,ISIC_0059547.JPG,false,0,keypress(z),500,55842.5,55842.299999952316,51594.172,51694.199999928474,51597.238,55747.429,8,400,3,,ISIC_0070351.JPG
break,html.Screen,4_2_1,2023-08-25T21:23:17.267Z,,0,,,NaN,,,,,,false,,,,55844.299999952316,55843.299999952316,,55842.799999952316,,55747.429,8,400,,,
break_continue,html.Screen,4_2_2,2023-08-25T21:23:17.268Z,,0,,,NaN,,,,,,false,,,,55844.799999952316,55844.699999928474,,55844.39999997616,,55747.429,8,400,,,
sequence,flow.Sequence,4_2,2023-08-25T21:23:17.268Z,,0,,,4247.461999928477,completion,,,,,false,,,,55845.10000002384,55844.699999928474,51594.172,51694.199999928474,51597.238,55747.429,8,400,,,
trial,html.Screen,4_3_0,2023-08-25T21:23:22.621Z,,0,1,,5449.970999976162,response,ISIC_2228511.JPG,,ISIC_0028326.JPG,ISIC_2228511.JPG,false,1,keypress(m),500,61197.699999928474,61197.39999997616,55744.265,55845.299999952316,55747.429,61102.489,8,400,4,,ISIC_0028326.JPG
break,html.Screen,4_3_1,2023-08-25T21:23:22.622Z,,0,,,NaN,,,,,,false,,,,61199.39999997616,61198.39999997616,,61197.89999997616,,61102.489,8,400,,,
break_continue,html.Screen,4_3_2,2023-08-25T21:23:22.623Z,,0,,,NaN,,,,,,false,,,,61199.89999997616,61199.699999928474,,61199.5,,61102.489,8,400,,,
sequence,flow.Sequence,4_3,2023-08-25T21:23:22.623Z,,0,,,5452.270999928478,completion,,,,,false,,,,61200,61199.699999928474,55744.265,55845.199999928474,55747.429,61102.489,8,400,,,
trial,html.Screen,4_4_0,2023-08-25T21:23:28.834Z,,0,1,,6307.810999952315,response,ISIC_0034062.JPG,,ISIC_1777398.JPG,ISIC_0034062.JPG,false,1,keypress(m),500,67410.60000002384,67410.29999995232,61087.485,61200.10000002384,61102.489,67315.108,8,400,5,,ISIC_1777398.JPG
break,html.Screen,4_4_1,2023-08-25T21:23:28.834Z,,0,,,NaN,,,,,,false,,,,67411.29999995232,67411,,67410.69999992847,,67315.108,8,400,,,
break_continue,html.Screen,4_4_2,2023-08-25T21:23:28.835Z,,0,,,NaN,,,,,,false,,,,67412,67412,,67411.89999997616,,67315.108,8,400,,,
sequence,flow.Sequence,4_4,2023-08-25T21:23:28.835Z,,0,,,6309.510999999999,completion,,,,,false,,,,67412.10000002384,67412,61087.485,61200.10000002384,61102.489,67315.108,8,400,,,
trial,html.Screen,4_5_0,2023-08-25T21:23:33.300Z,,0,1,,4561.492000023849,response,ISIC_3496800.JPG,,ISIC_0538042.JPG,ISIC_3496800.JPG,false,1,keypress(m),500,71876.89999997616,71876.60000002384,67308.052,67412.10000002384,67315.108,71791.228,8,400,6,,ISIC_0538042.JPG
break,html.Screen,4_5_1,2023-08-25T21:23:33.301Z,,0,,,NaN,,,,,,false,,,,71878.10000002384,71877.79999995232,,71877.29999995232,,71791.228,8,400,,,
break_continue,html.Screen,4_5_2,2023-08-25T21:23:33.302Z,,0,,,NaN,,,,,,false,,,,71878.5,71878.39999997616,,71878.19999992847,,71791.228,8,400,,,
sequence,flow.Sequence,4_5,2023-08-25T21:23:33.302Z,,0,,,4563.291999976165,completion,,,,,false,,,,71878.79999995232,71878.39999997616,67308.052,67412.10000002384,67315.108,71791.228,8,400,,,
trial,html.Screen,4_6_0,2023-08-25T21:23:39.451Z,,0,1,,6236.171999976155,response,ISIC_0013565.JPG,,ISIC_0027321.JPG,ISIC_0013565.JPG,false,1,keypress(m),500,78027.5,78027.39999997616,71779.809,71878.89999997616,71791.228,77935.001,8,400,7,,ISIC_0027321.JPG
break,html.Screen,4_6_1,2023-08-25T21:23:39.451Z,,0,,,NaN,,,,,,false,,,,78028.10000002384,78027.89999997616,,78027.69999992847,,77935.001,8,400,,,
break_continue,html.Screen,4_6_2,2023-08-25T21:23:39.451Z,,0,,,NaN,,,,,,false,,,,78028.29999995232,78028.29999995232,,78028.10000002384,,77935.001,8,400,,,
sequence,flow.Sequence,4_6,2023-08-25T21:23:39.451Z,,0,,,6237.0719999523135,completion,,,,,false,,,,78028.39999997616,78028.29999995232,71779.809,71878.89999997616,71791.228,77935.001,8,400,,,
trial,html.Screen,4_7_0,2023-08-25T21:23:44.461Z,,0,1,,5102.498999999996,response,ISIC_8979275.JPG,,ISIC_3727059.JPG,ISIC_3727059.JPG,false,0,keypress(z),500,83037.79999995232,83037.5,77929.92,78028.39999997616,77935.001,82953.179,8,400,8,,ISIC_8979275.JPG
break,html.Screen,4_7_1,2023-08-25T21:23:44.463Z,,0,,,NaN,,,,,,false,,,,83039.79999995232,83039.60000002384,,83039.10000002384,,82953.179,8,400,,,
break_continue,html.Screen,4_7_2,2023-08-25T21:23:44.463Z,,0,,,NaN,,,,,,false,,,,83040.29999995232,83040.19999992847,,83040,,82953.179,8,400,,,
sequence,flow.Sequence,4_7,2023-08-25T21:23:44.464Z,,0,,,5105.198999928471,completion,,,,,false,,,,83040.5,83040.19999992847,77929.92,78028.39999997616,77935.001,82953.179,8,400,,,
trial,html.Screen,4_8_0,2023-08-25T21:23:48.709Z,,0,1,,4332.421000023838,response,ISIC_0010850.JPG,,ISIC_4264600.JPG,ISIC_0010850.JPG,false,1,keypress(m),500,87285.79999995232,87285.60000002384,82936.812,83040.60000002384,82953.179,87190.796,8,400,9,,ISIC_4264600.JPG
break,html.Screen,4_8_1,2023-08-25T21:23:48.711Z,,0,,,NaN,,,,,,false,,,,87287.69999992847,87286.69999992847,,87286.10000002384,,87190.796,8,400,,,
break_continue,html.Screen,4_8_2,2023-08-25T21:23:48.712Z,,0,,,NaN,,,,,,false,,,,87288.39999997616,87288.19999992847,,87287.89999997616,,87190.796,8,400,,,
sequence,flow.Sequence,4_8,2023-08-25T21:23:48.712Z,,0,,,4335.020999928471,completion,,,,,false,,,,87288.60000002384,87288.19999992847,82936.812,83040.60000002384,82953.179,87190.796,8,400,,,
trial,html.Screen,4_9_0,2023-08-25T21:23:52.411Z,,0,1,,3796.703999999998,response,ISIC_0000535.JPG,,ISIC_5552066.JPG,ISIC_5552066.JPG,false,0,keypress(z),500,90987.69999992847,90987.5,87188.569,87288.69999992847,87190.796,90892.378,8,400,10,,ISIC_0000535.JPG
break,html.Screen,4_9_1,2023-08-25T21:23:52.412Z,,0,,,NaN,,,,,,false,,,,90989.29999995232,90989.10000002384,,90988.10000002384,,90892.378,8,400,,,
break_continue,html.Screen,4_9_2,2023-08-25T21:23:52.413Z,,0,,,NaN,,,,,,false,,,,90989.60000002384,90989.5,,90989.39999997616,,90892.378,8,400,,,
sequence,flow.Sequence,4_9,2023-08-25T21:23:52.413Z,,0,,,3798.703999999998,completion,,,,,false,,,,90989.69999992847,90989.5,87188.569,87288.69999992847,87190.796,90892.378,8,400,,,
trial,html.Screen,4_10_0,2023-08-25T21:23:56.542Z,,0,1,,4226.622000000003,response,ISIC_0031561.JPG,,ISIC_8263489.JPG,ISIC_0031561.JPG,false,1,keypress(m),500,95119.19999992847,95119,90890.868,90989.69999992847,90892.378,95024.144,8,400,11,,ISIC_8263489.JPG
break,html.Screen,4_10_1,2023-08-25T21:23:56.544Z,,0,,,NaN,,,,,,false,,,,95120.5,95120.29999995232,,95119.5,,95024.144,8,400,,,
break_continue,html.Screen,4_10_2,2023-08-25T21:23:56.544Z,,0,,,NaN,,,,,,false,,,,95121.10000002384,95121,,95120.69999992847,,95024.144,8,400,,,
sequence,flow.Sequence,4_10,2023-08-25T21:23:56.544Z,,0,,,4228.622000000003,completion,,,,,false,,,,95121.19999992847,95121,90890.868,90989.69999992847,90892.378,95024.144,8,400,,,
trial,html.Screen,4_11_0,2023-08-25T21:24:00.915Z,,0,1,,4467.555999928474,response,ISIC_0011531.JPG,,ISIC_0013688.JPG,ISIC_0011531.JPG,false,1,keypress(m),500,99491.89999997616,99491.69999992847,95018.064,95121.60000002384,95024.144,99396.706,8,400,12,,ISIC_0013688.JPG
break,html.Screen,4_11_1,2023-08-25T21:24:00.917Z,,0,,,NaN,,,,,,false,,,,99493.5,99492.69999992847,,99492.10000002384,,99396.706,8,400,,,
break_continue,html.Screen,4_11_2,2023-08-25T21:24:00.917Z,,0,,,NaN,,,,,,false,,,,99493.89999997616,99493.69999992847,,99493.60000002384,,99396.706,8,400,,,
sequence,flow.Sequence,4_11,2023-08-25T21:24:00.917Z,,0,,,4469.555999928474,completion,,,,,false,,,,99494,99493.69999992847,95018.064,95121.39999997616,95024.144,99396.706,8,400,,,
trial,html.Screen,4_12_0,2023-08-25T21:24:06.487Z,,0,1,,5666.793999999994,response,ISIC_3565564.JPG,,ISIC_0033995.JPG,ISIC_3565564.JPG,false,1,keypress(m),500,105063.79999995232,105063.5,99390.325,99494.19999992847,99396.706,104968.705,8,400,13,,ISIC_0033995.JPG
break,html.Screen,4_12_1,2023-08-25T21:24:06.489Z,,0,,,NaN,,,,,,false,,,,105065.79999995232,105064.79999995232,,105064,,104968.705,8,400,,,
break_continue,html.Screen,4_12_2,2023-08-25T21:24:06.490Z,,0,,,NaN,,,,,,false,,,,105066.5,105066.39999997616,,105066,,104968.705,8,400,,,
sequence,flow.Sequence,4_12,2023-08-25T21:24:06.490Z,,0,,,5669.693999976153,completion,,,,,false,,,,105066.69999992847,105066.39999997616,99390.325,99494.10000002384,99396.706,104968.705,8,400,,,
trial,html.Screen,4_13_0,2023-08-25T21:24:10.305Z,,0,1,,3912.6949999761564,response,ISIC_0030119.JPG,,ISIC_0028109.JPG,ISIC_0030119.JPG,false,1,keypress(m),500,108881.69999992847,108881.39999997616,104952.167,105066.79999995232,104968.705,108786.577,8,400,14,,ISIC_0028109.JPG
break,html.Screen,4_13_1,2023-08-25T21:24:10.307Z,,0,,,NaN,,,,,,false,,,,108883.60000002384,108882.69999992847,,108882,,108786.577,8,400,,,
break_continue,html.Screen,4_13_2,2023-08-25T21:24:10.308Z,,0,,,NaN,,,,,,false,,,,108884.29999995232,108884.19999992847,,108883.79999995232,,108786.577,8,400,,,
sequence,flow.Sequence,4_13,2023-08-25T21:24:10.308Z,,0,,,3915.4949999284727,completion,,,,,false,,,,108884.5,108884.19999992847,104952.167,105066.69999992847,104968.705,108786.577,8,400,,,
trial,html.Screen,4_14_0,2023-08-25T21:24:14.487Z,,0,1,,4276.422999999995,response,ISIC_7161069.JPG,,ISIC_8257549.JPG,ISIC_7161069.JPG,false,1,keypress(m),500,113063.39999997616,113063,108784.796,108884.69999992847,108786.577,112968.454,8,400,15,,ISIC_8257549.JPG
break,html.Screen,4_14_1,2023-08-25T21:24:14.488Z,,0,,,NaN,,,,,,false,,,,113064.60000002384,113064.29999995232,,113063.60000002384,,112968.454,8,400,,,
break_continue,html.Screen,4_14_2,2023-08-25T21:24:14.488Z,,0,,,NaN,,,,,,false,,,,113065.10000002384,113065,,113064.69999992847,,112968.454,8,400,,,
sequence,flow.Sequence,4_14,2023-08-25T21:24:14.488Z,,0,,,4278.422999999995,completion,,,,,false,,,,113065.29999995232,113065,108784.796,108884.60000002384,108786.577,112968.454,8,400,,,
trial,html.Screen,4_15_0,2023-08-25T21:24:17.963Z,,0,1,,3570.9459999761602,response,ISIC_0033083.JPG,,ISIC_0728350.JPG,ISIC_0033083.JPG,false,1,keypress(m),500,116539.60000002384,116539.39999997616,112956.953,113065.5,112968.454,116444.698,8,400,16,,ISIC_0728350.JPG
break,html.Screen,4_15_1,2023-08-25T21:24:17.964Z,,0,,,NaN,,,,,,false,,,,116540.79999995232,116540.5,,116539.79999995232,,116444.698,8,400,,,
break_continue,html.Screen,4_15_2,2023-08-25T21:24:17.964Z,,0,,,NaN,,,,,,false,,,,116541.19999992847,116541.10000002384,,116540.89999997616,,116444.698,8,400,,,
sequence,flow.Sequence,4_15,2023-08-25T21:24:17.965Z,,0,,,3572.646000023844,completion,,,,,false,,,,116541.39999997616,116541.10000002384,112956.953,113065.29999995232,112968.454,116444.698,8,400,,,
trial,html.Screen,4_16_0,2023-08-25T21:24:20.896Z,,0,1,,3027.402000023838,response,ISIC_0645116.JPG,,ISIC_6666329.JPG,ISIC_6666329.JPG,false,0,keypress(z),500,119472.39999997616,119472.10000002384,116437.843,116541.39999997616,116444.698,119377.159,8,400,17,,ISIC_0645116.JPG
break,html.Screen,4_16_1,2023-08-25T21:24:20.897Z,,0,,,NaN,,,,,,false,,,,119473.5,119473.19999992847,,119472.60000002384,,119377.159,8,400,,,
break_continue,html.Screen,4_16_2,2023-08-25T21:24:20.897Z,,0,,,NaN,,,,,,false,,,,119473.60000002384,119473.60000002384,,119473.5,,119377.159,8,400,,,
sequence,flow.Sequence,4_16,2023-08-25T21:24:20.897Z,,0,,,3028.902000023838,completion,,,,,false,,,,119473.69999992847,119473.60000002384,116437.843,116541.39999997616,116444.698,119377.159,8,400,,,
trial,html.Screen,4_17_0,2023-08-25T21:24:24.501Z,,0,1,,3700.6409999523166,response,ISIC_0068776.JPG,,ISIC_4750271.JPG,ISIC_4750271.JPG,false,0,keypress(z),500,123078,123077.79999995232,119360.777,119473.69999992847,119377.159,122982.992,8,400,18,,ISIC_0068776.JPG
break,html.Screen,4_17_1,2023-08-25T21:24:24.503Z,,0,,,NaN,,,,,,false,,,,123080.10000002384,123079.10000002384,,123078.29999995232,,122982.992,8,400,,,
break_continue,html.Screen,4_17_2,2023-08-25T21:24:24.504Z,,0,,,NaN,,,,,,false,,,,123080.79999995232,123080.60000002384,,123080.29999995232,,122982.992,8,400,,,
sequence,flow.Sequence,4_17,2023-08-25T21:24:24.504Z,,0,,,3703.441000023842,completion,,,,,false,,,,123081,123080.60000002384,119360.777,119473.69999992847,119377.159,122982.992,8,400,,,
trial,html.Screen,4_18_0,2023-08-25T21:24:27.378Z,,0,1,,2971.207999928476,response,ISIC_0012450.JPG,,ISIC_0030970.JPG,ISIC_0030970.JPG,false,0,keypress(z),500,125954.5,125954.19999992847,122980.816,123081.10000002384,122982.992,125864.858,8,400,19,,ISIC_0012450.JPG
break,html.Screen,4_18_1,2023-08-25T21:24:27.379Z,,0,,,NaN,,,,,,false,,,,125956,125955.5,,125954.69999992847,,125864.858,8,400,,,
break_continue,html.Screen,4_18_2,2023-08-25T21:24:27.380Z,,0,,,NaN,,,,,,false,,,,125956.79999995232,125956.60000002384,,125956.29999995232,,125864.858,8,400,,,
sequence,flow.Sequence,4_18,2023-08-25T21:24:27.380Z,,0,,,2973.6080000238435,completion,,,,,false,,,,125957,125956.60000002384,122980.816,123081,122982.992,125864.858,8,400,,,
trial,html.Screen,4_19_0,2023-08-25T21:24:30.774Z,,0,1,,3486.142000000007,response,ISIC_0030852.JPG,,ISIC_0034188.JPG,ISIC_0030852.JPG,false,1,keypress(m),500,129351.29999995232,129351,125857.965,125957.19999992847,125864.858,129256.155,8,400,20,,ISIC_0034188.JPG
break,html.Screen,4_19_1,2023-08-25T21:24:30.776Z,,0,,,NaN,,,,,,false,,,,129353.19999992847,129352.19999992847,,129351.39999997616,,129256.155,8,400,,,
break_continue,html.Screen,4_19_2,2023-08-25T21:24:30.777Z,,0,,,NaN,,,,,,false,,,,129353.89999997616,129353.79999995232,,129353.39999997616,,129256.155,8,400,,,
sequence,flow.Sequence,4_19,2023-08-25T21:24:30.777Z,,0,,,3488.9419999523234,completion,,,,,false,,,,129354,129353.79999995232,125857.965,125957.19999992847,125864.858,129256.155,8,400,,,
trial,html.Screen,4_20_0,2023-08-25T21:24:37.324Z,,0,1,,6644.044999928476,response,ISIC_8002729.JPG,,ISIC_0010295.JPG,ISIC_0010295.JPG,false,0,keypress(z),500,135900.5,135900.19999992847,129253.408,129354.19999992847,129256.155,135805.489,8,400,21,,ISIC_8002729.JPG
break,html.Screen,4_20_1,2023-08-25T21:24:37.326Z,,0,,,NaN,,,,,,false,,,,135902.60000002384,135901.69999992847,,135900.79999995232,,135805.489,8,400,,,
break_continue,html.Screen,4_20_2,2023-08-25T21:24:37.327Z,,0,,,NaN,,,,,,false,,,,135903.39999997616,135903.19999992847,,135902.89999997616,,135805.489,8,400,,,
sequence,flow.Sequence,4_20,2023-08-25T21:24:37.327Z,,0,,,6647.044999928476,completion,,,,,false,,,,135903.5,135903.19999992847,129253.408,129354.10000002384,129256.155,135805.489,8,400,,,
trial,html.Screen,4_21_0,2023-08-25T21:24:40.185Z,,0,1,,2956.1110000238405,response,ISIC_7329395.JPG,,ISIC_6180870.JPG,ISIC_7329395.JPG,false,1,keypress(m),500,138761.79999995232,138761.60000002384,135801.602,135903.69999992847,135805.489,138666.665,8,400,22,,ISIC_6180870.JPG
break,html.Screen,4_21_1,2023-08-25T21:24:40.187Z,,0,,,NaN,,,,,,false,,,,138763.69999992847,138762.79999995232,,138762,,138666.665,8,400,,,
break_continue,html.Screen,4_21_2,2023-08-25T21:24:40.188Z,,0,,,NaN,,,,,,false,,,,138764.39999997616,138764.29999995232,,138763.89999997616,,138666.665,8,400,,,
sequence,flow.Sequence,4_21,2023-08-25T21:24:40.188Z,,0,,,2958.810999952315,completion,,,,,false,,,,138764.60000002384,138764.29999995232,135801.602,135903.60000002384,135805.489,138666.665,8,400,,,
trial,html.Screen,4_22_0,2023-08-25T21:24:43.044Z,,0,1,,2953.134999952308,response,ISIC_0014657.JPG,,ISIC_7814144.JPG,ISIC_7814144.JPG,false,0,keypress(z),500,141620.79999995232,141619.79999995232,138663.853,138764.79999995232,138666.665,141525.322,8,400,23,,ISIC_0014657.JPG
break,html.Screen,4_22_1,2023-08-25T21:24:43.045Z,,0,,,NaN,,,,,,false,,,,141621.60000002384,141621.29999995232,,141621,,141525.322,8,400,,,
break_continue,html.Screen,4_22_2,2023-08-25T21:24:43.045Z,,0,,,NaN,,,,,,false,,,,141621.69999992847,141621.60000002384,,141621.60000002384,,141525.322,8,400,,,
sequence,flow.Sequence,4_22,2023-08-25T21:24:43.045Z,,0,,,2954.9350000238337,completion,,,,,false,,,,141621.69999992847,141621.60000002384,138663.853,138764.69999992847,138666.665,141525.322,8,400,,,
