sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-09-01T20:59:27.841Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":2560,""screen_height"":1440,""scroll_width"":2560,""scroll_height"":1288,""window_innerWidth"":2560,""window_innerHeight"":1336,""devicePixelRatio"":1}",,,,7445,response,,,,,,consent,click button,,7837,7820,358.32,357,375,7847.52,,,,{},
Welcome,html.Screen,1,2023-09-01T20:59:35.922Z,,,,symmetry,8066.48,response,,,,,,continue,click button,,15918,15914,7836.4,7837,7847.52,15921.32,,,,,
trial,html.Screen,2_0_0,2023-09-01T20:59:42.142Z,,0,0,,6215.68,response,ISIC_6997061.JPG,,ISIC_0069348.JPG,ISIC_0069348.JPG,true,0,keypress(z),500,22138,22137,15916.74,15919,15921.32,22138.78,1,6,1,,ISIC_6997061.JPG
sequence,flow.Sequence,2_0,2023-09-01T20:59:42.142Z,,0,,,6215.68,completion,,,,,true,,,,22139,22137,15916.74,15919,15921.32,22138.78,1,6,,,
trial,html.Screen,2_1_0,2023-09-01T20:59:47.310Z,,0,0,,5165.220000000001,response,ISIC_0009529.JPG,,ISIC_0057368.JPG,ISIC_0057368.JPG,true,0,keypress(z),500,27305,27304,22138.62,22139,22138.78,27308.8,1,6,2,,ISIC_0009529.JPG
sequence,flow.Sequence,2_1,2023-09-01T20:59:47.311Z,,0,,,5165.220000000001,completion,,,,,true,,,,27307,27304,22138.62,22139,22138.78,27308.8,1,6,,,
trial,html.Screen,2_2_0,2023-09-01T20:59:51.469Z,,0,0,,4156.200000000001,response,ISIC_0064954.JPG,,ISIC_9758671.JPG,ISIC_9758671.JPG,true,0,keypress(z),500,31465,31465,27308.24,27308,27308.8,31466.44,1,6,3,,ISIC_0064954.JPG
sequence,flow.Sequence,2_2,2023-09-01T20:59:51.469Z,,0,,,4156.200000000001,completion,,,,,true,,,,31466,31465,27308.24,27308,27308.8,31466.44,1,6,,,
trial,html.Screen,2_3_0,2023-09-01T20:59:55.426Z,,0,0,,3956.5600000000013,response,ISIC_0005785.JPG,,ISIC_0000080.JPG,ISIC_0005785.JPG,true,1,keypress(m),500,35423,35423,31466.06,31466,31466.44,35423.14,1,6,4,,ISIC_0000080.JPG
sequence,flow.Sequence,2_3,2023-09-01T20:59:55.427Z,,0,,,3956.5600000000013,completion,,,,,true,,,,35423,35423,31466.06,31466,31466.44,35423.14,1,6,,,
trial,html.Screen,2_4_0,2023-09-01T20:59:59.337Z,,0,0,,3909.8600000000006,response,ISIC_5390060.JPG,,ISIC_7944028.JPG,ISIC_5390060.JPG,true,1,keypress(m),500,39333,39333,35422.96,35423,35423.14,39334.28,1,6,5,,ISIC_7944028.JPG
sequence,flow.Sequence,2_4,2023-09-01T20:59:59.338Z,,0,,,3909.8600000000006,completion,,,,,true,,,,39333,39333,35422.96,35423,35423.14,39334.28,1,6,,,
trial,html.Screen,2_5_0,2023-09-01T21:00:02.619Z,,0,0,,3280.720000000001,response,ISIC_0010188.JPG,,ISIC_0794216.JPG,ISIC_0794216.JPG,true,0,keypress(z),500,42615,42615,39333.96,39334,39334.28,42617.74,1,6,6,,ISIC_0010188.JPG
sequence,flow.Sequence,2_5,2023-09-01T21:00:02.620Z,,0,,,3280.720000000001,completion,,,,,true,,,,42616,42615,39333.96,39334,39334.28,42617.74,1,6,,,
loop,flow.Loop,2,2023-09-01T21:00:02.621Z,,,,,26693.68,completion,,,,,true,,,,42617,42615,15916.74,15919,15921.32,42617.74,1,6,,,
exp_instructions,html.Screen,3,2023-09-01T21:00:29.375Z,,,,,26732.260000000002,response,,,,,,continue,keypress(Space),,69371,69350,42617.3,42617,42617.74,69372.96,,,,,
trial,html.Screen,4_0_0,2023-09-01T21:00:34.050Z,,0,1,,4672.039999999994,response,ISIC_9059311.JPG,15,ISIC_0058661.JPG,ISIC_9059311.JPG,false,1,keypress(m),500,74046,74045,69372.7,69373,69372.96,74046.7,8,400,1,,ISIC_0058661.JPG
break,html.Screen,4_0_1,2023-09-01T21:00:34.051Z,,0,,,NaN,,,,,,false,,,,74047,74046,,74046,,74046.7,8,400,,,
break_continue,html.Screen,4_0_2,2023-09-01T21:00:34.052Z,,0,,,NaN,,,,,,false,,,,74047,74047,,74047,,74046.7,8,400,,,
sequence,flow.Sequence,4_0,2023-09-01T21:00:34.052Z,,0,,,4674.039999999994,completion,,,,,false,,,,74049,74047,69372.7,69373,69372.96,74046.7,8,400,,,
trial,html.Screen,4_1_0,2023-09-01T21:00:37.495Z,,0,1,,3444.300000000003,response,ISIC_7240424.JPG,13,ISIC_0001792.JPG,ISIC_0001792.JPG,false,0,keypress(z),500,77491,77491,74046.58,74049,74046.7,77491.58,8,400,2,,ISIC_7240424.JPG
break,html.Screen,4_1_1,2023-09-01T21:00:37.496Z,,0,,,NaN,,,,,,false,,,,77491,77491,,77491,,77491.58,8,400,,,
break_continue,html.Screen,4_1_2,2023-09-01T21:00:37.496Z,,0,,,NaN,,,,,,false,,,,77492,77492,,77492,,77491.58,8,400,,,
sequence,flow.Sequence,4_1,2023-09-01T21:00:37.496Z,,0,,,3445.300000000003,completion,,,,,false,,,,77492,77492,74046.58,74049,74046.7,77491.58,8,400,,,
trial,html.Screen,4_2_0,2023-09-01T21:00:42.019Z,,0,1,,4522.419999999998,response,ISIC_4907595.JPG,3,ISIC_0010752.JPG,ISIC_4907595.JPG,false,1,keypress(m),500,82014,82014,77491.3,77492,77491.58,82015.08,8,400,3,,ISIC_0010752.JPG
break,html.Screen,4_2_1,2023-09-01T21:00:42.020Z,,0,,,NaN,,,,,,false,,,,82016,82015,,82014,,82015.08,8,400,,,
break_continue,html.Screen,4_2_2,2023-09-01T21:00:42.021Z,,0,,,NaN,,,,,,false,,,,82017,82017,,82016,,82015.08,8,400,,,
sequence,flow.Sequence,4_2,2023-09-01T21:00:42.022Z,,0,,,4525.419999999998,completion,,,,,false,,,,82018,82017,77491.3,77492,77491.58,82015.08,8,400,,,
trial,html.Screen,4_3_0,2023-09-01T21:00:45.100Z,,0,1,,3080.9199999999983,response,ISIC_0010510.JPG,20,ISIC_0012137.JPG,ISIC_0010510.JPG,false,1,keypress(m),500,85097,85096,82014.9,82018,82015.08,85097.72,8,400,4,,ISIC_0012137.JPG
break,html.Screen,4_3_1,2023-09-01T21:00:45.102Z,,0,,,NaN,,,,,,false,,,,85097,85097,,85097,,85097.72,8,400,,,
break_continue,html.Screen,4_3_2,2023-09-01T21:00:45.102Z,,0,,,NaN,,,,,,false,,,,85098,85098,,85098,,85097.72,8,400,,,
sequence,flow.Sequence,4_3,2023-09-01T21:00:45.102Z,,0,,,3082.9199999999983,completion,,,,,false,,,,85098,85098,82014.9,82018,82015.08,85097.72,8,400,,,
trial,html.Screen,4_4_0,2023-09-01T21:00:48.542Z,,0,1,,3440.279999999999,response,ISIC_0024865.JPG,6,ISIC_7297078.JPG,ISIC_0024865.JPG,false,1,keypress(m),500,88538,88538,85097.2,85098,85097.72,88538.98,8,400,5,,ISIC_7297078.JPG
break,html.Screen,4_4_1,2023-09-01T21:00:48.542Z,,0,,,NaN,,,,,,false,,,,88538,88538,,88538,,88538.98,8,400,,,
break_continue,html.Screen,4_4_2,2023-09-01T21:00:48.542Z,,0,,,NaN,,,,,,false,,,,88538,88538,,88538,,88538.98,8,400,,,
sequence,flow.Sequence,4_4,2023-09-01T21:00:48.544Z,,0,,,3440.279999999999,completion,,,,,false,,,,88539,88538,85097.2,85098,85097.72,88538.98,8,400,,,
trial,html.Screen,4_5_0,2023-09-01T21:00:52.363Z,,0,1,,3820.020000000004,response,ISIC_7642591.JPG,8,ISIC_9358630.JPG,ISIC_9358630.JPG,false,0,keypress(z),500,92359,92359,88538.5,88539,88538.98,92360.44,8,400,6,,ISIC_7642591.JPG
break,html.Screen,4_5_1,2023-09-01T21:00:52.365Z,,0,,,NaN,,,,,,false,,,,92361,92361,,92360,,92360.44,8,400,,,
