sender,sender_type,sender_id,timestamp,meta,,blockNo,condition,duration,ended_on,img_left,img_reveal,img_right,loser,practice,response,response_action,selection_duration,time_commit,time_end,time_render,time_run,time_show,time_switch,total_blocks,total_trials,trialNo,url,winner
informed_consent,html.Screen,0,2023-09-08T19:48:52.966Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-AU"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1680,""screen_height"":1050,""scroll_width"":1296,""scroll_height"":688,""window_innerWidth"":1296,""window_innerHeight"":736,""devicePixelRatio"":1}",,,,13029.440999952316,response,,,,,,consent,click button,,13628.799999952316,13620.299999952316,573.975,641.4000000953674,590.859,13565.951,,,,{},
Welcome,html.Screen,1,2023-09-08T19:48:54.310Z,,,,asymmetry,1406.3489999523172,response,,,,,,continue,click button,,14973.099999904633,14972.299999952316,13549.221,13629.099999904633,13565.951,14918.554,,,,,
trial,html.Screen,2_0_0,2023-09-08T19:49:05.809Z,,0,0,,11522.487000000001,timeout,ISIC_0069348.JPG,,ISIC_6997061.JPG,,true,,,500,26471.5,26471.299999952316,14901.896,14973.200000047684,14918.554,26441.041,1,6,1,,
sequence,flow.Sequence,2_0,2023-09-08T19:49:05.809Z,,0,,,11552.745999952316,completion,,,,,true,,,,26471.799999952316,26471.299999952316,14901.896,14973.200000047684,14918.554,26441.041,1,6,,,
trial,html.Screen,2_1_0,2023-09-08T19:49:15.250Z,,0,0,,9471.458999999999,response,ISIC_0057368.JPG,,ISIC_0009529.JPG,ISIC_0057368.JPG,true,1,keypress(m),500,35912.59999990463,35912.5,26424.37,26471.900000095367,26441.041,35859.395,1,6,2,,ISIC_0009529.JPG
sequence,flow.Sequence,2_1,2023-09-08T19:49:15.250Z,,0,,,9471.458999999999,completion,,,,,true,,,,35912.700000047684,35912.5,26424.37,26471.900000095367,26441.041,35859.395,1,6,,,
trial,html.Screen,2_2_0,2023-09-08T19:49:21.971Z,,0,0,,6774.605000000003,response,ISIC_0064954.JPG,,ISIC_9758671.JPG,ISIC_0064954.JPG,true,1,keypress(m),500,42634.200000047684,42634,35842.775,35912.90000009537,35859.395,42572.394,1,6,3,,ISIC_9758671.JPG
sequence,flow.Sequence,2_2,2023-09-08T19:49:21.972Z,,0,,,6774.605000000003,completion,,,,,true,,,,42634.299999952316,42634,35842.775,35912.799999952316,35859.395,42572.394,1,6,,,
trial,html.Screen,2_3_0,2023-09-08T19:49:24.886Z,,0,0,,2975.7059999046323,response,ISIC_0005785.JPG,,ISIC_0000080.JPG,ISIC_0000080.JPG,true,0,keypress(z),500,45548.200000047684,45548.09999990463,42555.754,42634.5,42572.394,45494.835,1,6,4,,ISIC_0005785.JPG
sequence,flow.Sequence,2_3,2023-09-08T19:49:24.886Z,,0,,,2975.7059999046323,completion,,,,,true,,,,45548.40000009537,45548.09999990463,42555.754,42634.40000009537,42572.394,45494.835,1,6,,,
